0.0494478,-0.0361144,0.0375033,0.0494478,0.0355589,0.100003
0.0494711,-0.0361378,0.0375267,0.0494711,0.0355822,0.100027
0.0495344,-0.0362011,0.03759,0.0495344,0.0356456,0.10009
0.0496578,-0.0363244,0.0377133,0.0496578,0.0357689,0.100213
0.0498611,-0.0365278,0.0379167,0.0498611,0.0359722,0.100417
0.0501644,-0.0368311,0.03822,0.0501644,0.0362756,0.10072
0.0505878,-0.0372544,0.0386433,0.0505878,0.0366989,0.101143
0.0511511,-0.0378178,0.0392067,0.0511511,0.0372622,0.101707
0.0518744,-0.0385411,0.03993,0.0518744,0.0379856,0.10243
0.0527778,-0.0394444,0.0408333,0.0527778,0.0388889,0.103333
0.0538811,-0.0405478,0.0419367,0.0538811,0.0399922,0.104437
0.0552044,-0.0418711,0.04326,0.0552044,0.0413156,0.10576
0.0567678,-0.0434344,0.0448233,0.0567678,0.0428789,0.107323
0.0585911,-0.0452578,0.0466467,0.0585911,0.0447022,0.109147
0.0606944,-0.0473611,0.04875,0.0606944,0.0468056,0.11125
0.0630978,-0.0497644,0.0511533,0.0630978,0.0492089,0.113653
0.0658211,-0.0524878,0.0538767,0.0658211,0.0519322,0.116377
0.0688844,-0.0555511,0.05694,0.0688844,0.0549956,0.11944
0.0723078,-0.0589744,0.0603633,0.0723078,0.0584189,0.122863
0.0761111,-0.0627778,0.0641667,0.0761111,0.0622222,0.126667
0.0803144,-0.0669811,0.06837,0.0803144,0.0664256,0.13087
0.0849378,-0.0716044,0.0729933,0.0849378,0.0710489,0.135493
0.0900011,-0.0766678,0.0780567,0.0900011,0.0761122,0.140557
0.0955244,-0.0821911,0.08358,0.0955244,0.0816356,0.14608
0.101528,-0.0881944,0.0895833,0.101528,0.0876389,0.152083
0.108031,-0.0946978,0.0960867,0.108031,0.0941422,0.158587
0.115054,-0.101721,0.10311,0.115054,0.101166,0.16561
0.122618,-0.109284,0.110673,0.122618,0.108729,0.173173
0.130741,-0.117408,0.118797,0.130741,0.116852,0.181297
0.139444,-0.126111,0.1275,0.139444,0.125556,0.19
0.148748,-0.135414,0.136803,0.148748,0.134859,0.199303
0.158671,-0.145338,0.146727,0.158671,0.144782,0.209227
0.169234,-0.155901,0.15729,0.169234,0.155346,0.21979
0.180458,-0.167124,0.168513,0.180458,0.166569,0.231013
0.192361,-0.179028,0.180417,0.192361,0.178472,0.242917
0.204964,-0.191631,0.19302,0.204964,0.191076,0.25552
0.218288,-0.204954,0.206343,0.218288,0.204399,0.268843
0.232351,-0.219018,0.220407,0.232351,0.218462,0.282907
0.247174,-0.233841,0.23523,0.247174,0.233286,0.29773
0.262778,-0.249444,0.250833,0.262778,0.248889,0.313333
0.279181,-0.265848,0.267237,0.279181,0.265292,0.329737
0.296404,-0.283071,0.28446,0.296404,0.282516,0.34696
0.314468,-0.301134,0.302523,0.314468,0.300579,0.365023
0.333391,-0.320058,0.321447,0.333391,0.319502,0.383947
0.353194,-0.339861,0.34125,0.353194,0.339306,0.40375
0.373898,-0.360564,0.361953,0.373898,0.360009,0.424453
0.395521,-0.382188,0.383577,0.395521,0.381632,0.446077
0.418084,-0.404751,0.40614,0.418084,0.404196,0.46864
0.441608,-0.428274,0.429663,0.441608,0.427719,0.492163
0.466111,-0.452778,0.454167,0.466111,0.452222,0.516667
0.491614,-0.478281,0.47967,0.491614,0.477726,0.54217
0.518138,-0.504804,0.506193,0.518138,0.504249,0.568693
0.545701,-0.532368,0.533757,0.545701,0.531812,0.596257
0.574324,-0.560991,0.56238,0.574324,0.560436,0.62488
0.604028,-0.590694,0.592083,0.604028,0.590139,0.654583
0.634831,-0.621498,0.622887,0.634831,0.620942,0.685387
0.666754,-0.653421,0.65481,0.666754,0.652866,0.71731
0.699818,-0.686484,0.687873,0.699818,0.685929,0.750373
0.734041,-0.720708,0.722097,0.734041,0.720152,0.784597
0.769444,-0.756111,0.7575,0.769444,0.755556,0.82
0.806048,-0.792714,0.794103,0.806048,0.792159,0.856603
0.843871,-0.830538,0.831927,0.843871,0.829982,0.894427
0.882934,-0.869601,0.87099,0.882934,0.869046,0.93349
0.923258,-0.909924,0.911313,0.923258,0.909369,0.973813
0.964861,-0.951528,0.952917,0.964861,0.950972,1.01542
1.00776,-0.994431,0.99582,1.00776,0.993876,1.05832
1.05199,-1.03865,1.04004,1.05199,1.0381,1.10254
1.09755,-1.08422,1.08561,1.09755,1.08366,1.14811
1.14447,-1.13114,1.13253,1.14447,1.13059,1.19503
1.19278,-1.17944,1.18083,1.19278,1.17889,1.24333
1.24248,-1.22915,1.23054,1.24248,1.22859,1.29304
1.2936,-1.28027,1.28166,1.2936,1.27972,1.34416
1.34617,-1.33283,1.33422,1.34617,1.33228,1.39672
1.40019,-1.38686,1.38825,1.40019,1.3863,1.45075
1.45569,-1.44236,1.44375,1.45569,1.44181,1.50625
1.5127,-1.49936,1.50075,1.5127,1.49881,1.56325
1.57122,-1.55788,1.55928,1.57122,1.5573,1.62178
1.63128,-1.61789,1.61934,1.63128,1.61726,1.68184
1.69291,-1.67938,1.68094,1.69291,1.67867,1.74346
1.75611,-1.74232,1.74406,1.75611,1.74152,1.80667
1.82091,-1.8067,1.80867,1.82091,1.80577,1.87147
