point_index,timestamp_ms,plan_pos_0,plan_pos_1,plan_pos_2,plan_pos_3,plan_pos_4,plan_pos_5,actual_pos_0,actual_pos_1,actual_pos_2,actual_pos_3,actual_pos_4,actual_pos_5,current_0,current_1,current_2,current_3,current_4,current_5
1,1743582125587,0.098889,-0.072222,0.075000,0.098889,0.098889,0.200000,0.105000,-0.024000,0.050000,0.049000,0.089000,0.156000,-159.000000,-978.000000,-2440.000000,396.000000,-548.000000,-75.000000
3,1743582125593,0.197778,-0.144444,0.150000,0.197778,0.197778,0.400000,0.105000,-0.027000,0.049000,0.043000,0.087000,0.156000,-171.000000,-992.000000,-2455.000000,464.000000,-554.000000,-76.000000
5,1743582125597,0.296667,-0.216667,0.225000,0.296667,0.296667,0.600000,0.105000,-0.027000,0.048000,0.038000,0.085000,0.156000,-167.000000,-1009.000000,-2436.000000,476.000000,-519.000000,-71.000000
7,1743582125602,0.395556,-0.288889,0.300000,0.395556,0.395556,0.800000,0.104000,-0.027000,0.045000,0.031000,0.085000,0.155000,-155.000000,-1031.000000,-2439.000000,510.000000,-546.000000,-68.000000
10,1743582125607,0.543889,-0.397222,0.412500,0.543889,0.543889,1.100000,0.104000,-0.026000,0.046000,0.027000,0.083000,0.155000,-166.000000,-1055.000000,-2446.000000,567.000000,-508.000000,-89.000000
12,1743582125612,0.642778,-0.469444,0.487500,0.642778,0.642778,1.300000,0.105000,-0.026000,0.048000,0.020000,0.083000,0.157000,-164.000000,-1071.000000,-2475.000000,593.000000,-528.000000,-84.000000
14,1743582125617,0.741667,-0.541667,0.562500,0.741667,0.741667,1.500000,0.104000,-0.024000,0.046000,0.016000,0.082000,0.153000,-180.000000,-1088.000000,-2494.000000,564.000000,-526.000000,-84.000000
17,1743582125622,0.890000,-0.650000,0.675000,0.890000,0.890000,1.800000,0.104000,-0.024000,0.046000,0.016000,0.082000,0.153000,-180.000000,-1088.000000,-2494.000000,564.000000,-526.000000,-84.000000
19,1743582125628,0.988889,-0.722222,0.750000,0.988889,0.988889,2.000000,0.103000,-0.024000,0.048000,0.009000,0.081000,0.155000,-179.000000,-1122.000000,-2533.000000,619.000000,-515.000000,-91.000000
21,1743582125632,1.087778,-0.794444,0.825000,1.087778,1.087778,2.200000,0.101000,-0.026000,0.044000,0.009000,0.078000,0.152000,-197.000000,-1143.000000,-2522.000000,601.000000,-510.000000,-81.000000
24,1743582125638,1.236111,-0.902778,0.937500,1.236111,1.236111,2.500000,0.101000,-0.027000,0.044000,0.006000,0.076000,0.155000,-188.000000,-1157.000000,-2552.000000,593.000000,-508.000000,-84.000000
26,1743582125642,1.335000,-0.975000,1.012500,1.335000,1.335000,2.700000,0.101000,-0.027000,0.044000,0.006000,0.076000,0.155000,-188.000000,-1157.000000,-2552.000000,593.000000,-508.000000,-84.000000
29,1743582125648,1.483333,-1.083333,1.125000,1.483333,1.483333,3.000000,0.098000,-0.026000,0.042000,0.004000,0.074000,0.155000,-184.000000,-1182.000000,-2556.000000,583.000000,-495.000000,-87.000000
31,1743582125653,1.582222,-1.155556,1.200000,1.582222,1.582222,3.200000,0.097000,-0.027000,0.041000,0.001000,0.072000,0.153000,-168.000000,-1215.000000,-2501.000000,594.000000,-488.000000,-91.000000
33,1743582125658,1.681111,-1.227778,1.275000,1.681111,1.681111,3.400000,0.096000,-0.027000,0.039000,0.001000,0.072000,0.152000,-182.000000,-1230.000000,-2533.000000,604.000000,-497.000000,-100.000000
36,1743582125663,1.829444,-1.336111,1.387500,1.829444,1.829444,3.700000,0.097000,-0.026000,0.041000,-0.001000,0.071000,0.149000,-177.000000,-1242.000000,-2538.000000,601.000000,-486.000000,-90.000000
38,1743582125668,1.928333,-1.408333,1.462500,1.928333,1.928333,3.900000,0.096000,-0.026000,0.039000,-0.001000,0.070000,0.152000,-177.000000,-1271.000000,-2462.000000,599.000000,-490.000000,-97.000000
41,1743582125674,2.076667,-1.516667,1.575000,2.076667,2.076667,4.200000,0.096000,-0.026000,0.039000,0.000000,0.068000,0.151000,-200.000000,-1289.000000,-2446.000000,598.000000,-452.000000,-80.000000
43,1743582125678,2.175555,-1.588889,1.650000,2.175555,2.175555,4.400000,0.096000,-0.026000,0.039000,-0.001000,0.068000,0.151000,-178.000000,-1300.000000,-2446.000000,612.000000,-465.000000,-74.000000
45,1743582125683,2.274444,-1.661111,1.725000,2.274444,2.274444,4.600000,0.093000,-0.026000,0.041000,-0.001000,0.068000,0.152000,-143.000000,-1318.000000,-2407.000000,663.000000,-463.000000,-39.000000
47,1743582125688,2.373333,-1.733333,1.800000,2.373333,2.373333,4.800000,0.094000,-0.024000,0.039000,-0.001000,0.068000,0.149000,-121.000000,-1342.000000,-2384.000000,665.000000,-452.000000,-20.000000
50,1743582125693,2.521667,-1.841667,1.912500,2.521667,2.521667,5.100000,0.094000,-0.024000,0.039000,-0.001000,0.068000,0.149000,-121.000000,-1342.000000,-2384.000000,665.000000,-452.000000,-20.000000
52,1743582125699,2.620556,-1.913889,1.987500,2.620556,2.620556,5.300000,0.093000,-0.024000,0.039000,0.000000,0.067000,0.152000,-12.000000,-1514.000000,-2214.000000,722.000000,-351.000000,45.000000
54,1743582125703,2.719445,-1.986111,2.062500,2.719445,2.719445,5.500000,0.093000,-0.024000,0.039000,0.000000,0.067000,0.152000,-12.000000,-1514.000000,-2214.000000,722.000000,-351.000000,45.000000
57,1743582125708,2.867778,-2.094445,2.175000,2.867778,2.867778,5.800000,0.097000,-0.026000,0.041000,0.001000,0.068000,0.153000,37.000000,-1583.000000,-2125.000000,746.000000,-325.000000,73.000000
59,1743582125714,2.966667,-2.166667,2.250000,2.966667,2.966667,6.000000,0.098000,-0.027000,0.039000,0.004000,0.068000,0.155000,63.000000,-1654.000000,-1982.000000,778.000000,-320.000000,101.000000
61,1743582125718,3.065556,-2.238889,2.325000,3.065556,3.065556,6.200000,0.098000,-0.026000,0.039000,0.004000,0.068000,0.156000,93.000000,-1740.000000,-1921.000000,782.000000,-275.000000,138.000000
64,1743582125724,3.213889,-2.347222,2.437500,3.213889,3.213889,6.500000,0.103000,-0.027000,0.038000,0.008000,0.068000,0.160000,125.000000,-1830.000000,-1832.000000,790.000000,-252.000000,163.000000
66,1743582125728,3.312778,-2.419445,2.512500,3.312778,3.312778,6.700000,0.107000,-0.026000,0.041000,0.012000,0.070000,0.166000,145.000000,-1924.000000,-1630.000000,816.000000,-208.000000,198.000000
69,1743582125734,3.461111,-2.527778,2.625000,3.461111,3.461111,7.000000,0.111000,-0.026000,0.041000,0.017000,0.068000,0.168000,153.000000,-1974.000000,-1506.000000,803.000000,-175.000000,240.000000
71,1743582125738,3.560000,-2.600000,2.700000,3.560000,3.560000,7.200000,0.112000,-0.027000,0.041000,0.022000,0.071000,0.178000,168.000000,-2037.000000,-1409.000000,806.000000,-129.000000,291.000000
73,1743582125743,3.658889,-2.672222,2.775000,3.658889,3.658889,7.400000,0.124000,-0.031000,0.041000,0.037000,0.075000,0.185000,186.000000,-2156.000000,-1135.000000,772.000000,-104.000000,286.000000
75,1743582125748,3.757778,-2.744444,2.850000,3.757778,3.757778,7.600000,0.131000,-0.032000,0.042000,0.050000,0.078000,0.186000,224.000000,-2214.000000,-1013.000000,688.000000,-122.000000,303.000000
77,1743582125753,3.856667,-2.816667,2.925000,3.856667,3.856667,7.800000,0.131000,-0.032000,0.042000,0.050000,0.078000,0.186000,224.000000,-2214.000000,-1013.000000,688.000000,-122.000000,303.000000
80,1743582125758,4.005000,-2.925000,3.037500,4.005000,4.005000,8.100000,0.152000,-0.041000,0.044000,0.090000,0.094000,0.188000,199.000000,-2307.000000,-712.000000,413.000000,-122.000000,340.000000
82,1743582125763,4.103889,-2.997222,3.112500,4.103889,4.103889,8.300000,0.163000,-0.048000,0.048000,0.120000,0.104000,0.189000,219.000000,-2341.000000,-614.000000,168.000000,-153.000000,320.000000
