point_index,timestamp_us,plan_pos_0,plan_pos_1,plan_pos_2,plan_pos_3,plan_pos_4,plan_pos_5,actual_pos_0,actual_pos_1,actual_pos_2,actual_pos_3,actual_pos_4,actual_pos_5,current_0,current_1,current_2,current_3,current_4,current_5
1,1743679404376312,0.049471,-0.036138,0.037527,0.049471,0.035582,0.100027,0.107000,-0.026000,0.045000,0.022000,0.068000,0.159000,-166.000000,-936.000000,-2345.000000,129.000000,-473.000000,-89.000000
3,1743679404380771,0.049658,-0.036324,0.037713,0.049658,0.035769,0.100213,0.105000,-0.027000,0.044000,0.023000,0.067000,0.157000,-145.000000,-949.000000,-2341.000000,122.000000,-480.000000,-83.000000
5,1743679404386301,0.050164,-0.036831,0.038220,0.050164,0.036276,0.100720,0.105000,-0.027000,0.044000,0.022000,0.065000,0.159000,-157.000000,-973.000000,-2332.000000,128.000000,-452.000000,-88.000000
8,1743679404390766,0.051874,-0.038541,0.039930,0.051874,0.037986,0.102430,0.107000,-0.027000,0.042000,0.022000,0.064000,0.159000,-182.000000,-986.000000,-2335.000000,129.000000,-446.000000,-93.000000
10,1743679404395152,0.053881,-0.040548,0.041937,0.053881,0.039992,0.104437,0.105000,-0.026000,0.041000,0.023000,0.063000,0.156000,-161.000000,-1008.000000,-2330.000000,134.000000,-441.000000,-97.000000
12,1743679404400548,0.056768,-0.043434,0.044823,0.056768,0.042879,0.107323,0.104000,-0.026000,0.041000,0.022000,0.061000,0.156000,-172.000000,-1025.000000,-2327.000000,128.000000,-454.000000,-100.000000
15,1743679404405976,0.063098,-0.049764,0.051153,0.063098,0.049209,0.113653,0.105000,-0.024000,0.041000,0.022000,0.060000,0.156000,-158.000000,-1041.000000,-2349.000000,139.000000,-453.000000,-119.000000
17,1743679404410371,0.068884,-0.055551,0.056940,0.068884,0.054996,0.119440,0.105000,-0.024000,0.041000,0.022000,0.060000,0.156000,-158.000000,-1041.000000,-2349.000000,139.000000,-453.000000,-119.000000
19,1743679404415935,0.076111,-0.062778,0.064167,0.076111,0.062222,0.126667,0.104000,-0.024000,0.041000,0.022000,0.060000,0.157000,-188.000000,-1085.000000,-2343.000000,147.000000,-453.000000,-114.000000
21,1743679404420342,0.084938,-0.071604,0.072993,0.084938,0.071049,0.135493,0.103000,-0.024000,0.041000,0.022000,0.057000,0.157000,-187.000000,-1104.000000,-2355.000000,152.000000,-441.000000,-123.000000
24,1743679404425815,0.101528,-0.088194,0.089583,0.101528,0.087639,0.152083,0.103000,-0.024000,0.041000,0.022000,0.057000,0.157000,-187.000000,-1104.000000,-2355.000000,152.000000,-441.000000,-123.000000
26,1743679404431320,0.115054,-0.101721,0.103110,0.115054,0.101166,0.165610,0.100000,-0.026000,0.039000,0.020000,0.057000,0.153000,-184.000000,-1121.000000,-2359.000000,164.000000,-431.000000,-119.000000
28,1743679404435778,0.130741,-0.117408,0.118797,0.130741,0.116852,0.181297,0.101000,-0.026000,0.038000,0.022000,0.056000,0.156000,-171.000000,-1131.000000,-2305.000000,158.000000,-428.000000,-110.000000
31,1743679404441391,0.158671,-0.145338,0.146727,0.158671,0.144782,0.209227,0.100000,-0.027000,0.038000,0.022000,0.054000,0.156000,-72.000000,-1240.000000,-2157.000000,193.000000,-391.000000,-75.000000
33,1743679404445708,0.180458,-0.167124,0.168513,0.180458,0.166569,0.231013,0.098000,-0.028000,0.039000,0.022000,0.054000,0.155000,-19.000000,-1370.000000,-2037.000000,230.000000,-318.000000,-40.000000
36,1743679404451117,0.218288,-0.204954,0.206343,0.218288,0.204399,0.268843,0.100000,-0.026000,0.038000,0.022000,0.053000,0.157000,5.000000,-1451.000000,-1972.000000,249.000000,-290.000000,-17.000000
38,1743679404455499,0.247174,-0.233841,0.235230,0.247174,0.233286,0.297730,0.100000,-0.027000,0.039000,0.023000,0.054000,0.156000,48.000000,-1551.000000,-1860.000000,257.000000,-266.000000,-5.000000
41,1743679404461994,0.296404,-0.283071,0.284460,0.296404,0.282516,0.346960,0.101000,-0.027000,0.038000,0.023000,0.054000,0.156000,70.000000,-1598.000000,-1819.000000,281.000000,-259.000000,14.000000
43,1743679404467395,0.333391,-0.320058,0.321447,0.333391,0.319502,0.383947,0.104000,-0.027000,0.039000,0.024000,0.054000,0.155000,93.000000,-1682.000000,-1744.000000,254.000000,-251.000000,7.000000
46,1743679404472903,0.395521,-0.382188,0.383577,0.395521,0.381632,0.446077,0.105000,-0.026000,0.039000,0.030000,0.054000,0.155000,284.000000,-1901.000000,-1497.000000,337.000000,-179.000000,84.000000
48,1743679404477319,0.441608,-0.428274,0.429663,0.441608,0.427719,0.492163,0.111000,-0.027000,0.039000,0.035000,0.054000,0.162000,338.000000,-2102.000000,-1191.000000,351.000000,-92.000000,129.000000
50,1743679404482738,0.491614,-0.478281,0.479670,0.491614,0.477726,0.542170,0.127000,-0.031000,0.041000,0.053000,0.057000,0.166000,130.000000,-2212.000000,-845.000000,265.000000,-20.000000,206.000000
53,1743679404488156,0.574324,-0.560991,0.562380,0.574324,0.560436,0.624880,0.127000,-0.031000,0.041000,0.053000,0.057000,0.166000,130.000000,-2212.000000,-845.000000,265.000000,-20.000000,206.000000
55,1743679404493552,0.634831,-0.621498,0.622887,0.634831,0.620942,0.685387,0.135000,-0.035000,0.042000,0.065000,0.060000,0.173000,187.000000,-2276.000000,-680.000000,192.000000,6.000000,213.000000
58,1743679404498961,0.734041,-0.720708,0.722097,0.734041,0.720152,0.784597,0.141000,-0.038000,0.042000,0.075000,0.064000,0.178000,153.000000,-2301.000000,-624.000000,174.000000,9.000000,242.000000
60,1743679404503329,0.806048,-0.792714,0.794103,0.806048,0.792159,0.856603,0.163000,-0.053000,0.056000,0.108000,0.075000,0.186000,463.000000,-2674.000000,-267.000000,192.000000,127.000000,358.000000
62,1743679404508753,0.882934,-0.869601,0.870990,0.882934,0.869046,0.933490,0.184000,-0.074000,0.074000,0.130000,0.090000,0.192000,418.000000,-2725.000000,-292.000000,146.000000,141.000000,406.000000
65,1743679404514160,1.007760,-0.994431,0.995820,1.007760,0.993876,1.058320,0.200000,-0.089000,0.090000,0.163000,0.107000,0.196000,134.000000,-2573.000000,-523.000000,-11.000000,-10.000000,325.000000
67,1743679404519626,1.097550,-1.084220,1.085610,1.097550,1.083660,1.148110,0.223000,-0.112000,0.107000,0.181000,0.127000,0.196000,-125.000000,-2664.000000,-671.000000,-51.000000,-90.000000,383.000000
69,1743679404523949,1.192780,-1.179440,1.180830,1.192780,1.178890,1.243330,0.223000,-0.112000,0.107000,0.181000,0.127000,0.196000,-125.000000,-2664.000000,-671.000000,-51.000000,-90.000000,383.000000
71,1743679404528531,1.293600,-1.280270,1.281660,1.293600,1.279720,1.344160,0.237000,-0.129000,0.129000,0.218000,0.146000,0.196000,90.000000,-2678.000000,-614.000000,-186.000000,-74.000000,386.000000
74,1743679404534131,1.455690,-1.442360,1.443750,1.455690,1.441810,1.506250,0.258000,-0.152000,0.151000,0.245000,0.168000,0.197000,153.000000,-2612.000000,-527.000000,-176.000000,-75.000000,264.000000
76,1743679404538537,1.571220,-1.557880,1.559280,1.571220,1.557300,1.621780,0.277000,-0.177000,0.174000,0.267000,0.182000,0.204000,73.000000,-2626.000000,-555.000000,-1.000000,-74.000000,253.000000
78,1743679404544050,1.692910,-1.679380,1.680940,1.692910,1.678670,1.743460,0.289000,-0.195000,0.192000,0.285000,0.203000,0.229000,442.000000,-2718.000000,-286.000000,156.000000,155.000000,312.000000
80,1743679404548489,1.820910,-1.806700,1.808670,1.820910,1.805770,1.871470,0.309000,-0.219000,0.221000,0.317000,0.229000,0.260000,715.000000,-2957.000000,-64.000000,71.000000,274.000000,319.000000
83,1743679404554035,2.025120,-2.008250,2.011310,2.025120,2.006810,2.075680,0.341000,-0.258000,0.274000,0.357000,0.256000,0.288000,455.000000,-2854.000000,-675.000000,94.000000,176.000000,302.000000
