0.0494711,-0.0361378,0.0375267,0.0494711,0.0355822,0.100027
0.0496578,-0.0363244,0.0377133,0.0496578,0.0357689,0.100213
0.0501644,-0.0368311,0.03822,0.0501644,0.0362756,0.10072
0.0511511,-0.0378178,0.0392067,0.0511511,0.0372622,0.101707
0.0527778,-0.0394444,0.0408333,0.0527778,0.0388889,0.103333
0.0552044,-0.0418711,0.04326,0.0552044,0.0413156,0.10576
0.0585911,-0.0452578,0.0466467,0.0585911,0.0447022,0.109147
0.0630978,-0.0497644,0.0511533,0.0630978,0.0492089,0.113653
0.0688844,-0.0555511,0.05694,0.0688844,0.0549956,0.11944
0.0761111,-0.0627778,0.0641667,0.0761111,0.0622222,0.126667
0.0849378,-0.0716044,0.0729933,0.0849378,0.0710489,0.135493
0.0955244,-0.0821911,0.08358,0.0955244,0.0816356,0.14608
0.108031,-0.0946978,0.0960867,0.108031,0.0941422,0.158587
0.122618,-0.109284,0.110673,0.122618,0.108729,0.173173
0.139444,-0.126111,0.1275,0.139444,0.125556,0.19
0.158671,-0.145338,0.146727,0.158671,0.144782,0.209227
0.180458,-0.167124,0.168513,0.180458,0.166569,0.231013
0.204964,-0.191631,0.19302,0.204964,0.191076,0.25552
0.232351,-0.219018,0.220407,0.232351,0.218462,0.282907
0.262778,-0.249444,0.250833,0.262778,0.248889,0.313333
0.296404,-0.283071,0.28446,0.296404,0.282516,0.34696
0.333391,-0.320058,0.321447,0.333391,0.319502,0.383947
0.373898,-0.360564,0.361953,0.373898,0.360009,0.424453
0.418084,-0.404751,0.40614,0.418084,0.404196,0.46864
0.466111,-0.452778,0.454167,0.466111,0.452222,0.516667
0.518138,-0.504804,0.506193,0.518138,0.504249,0.568693
0.574324,-0.560991,0.56238,0.574324,0.560436,0.62488
0.634831,-0.621498,0.622887,0.634831,0.620942,0.685387
0.699818,-0.686484,0.687873,0.699818,0.685929,0.750373
0.769444,-0.756111,0.7575,0.769444,0.755556,0.82
0.843871,-0.830538,0.831927,0.843871,0.829982,0.894427
0.923258,-0.909924,0.911313,0.923258,0.909369,0.973813
1.00776,-0.994431,0.99582,1.00776,0.993876,1.05832
1.09755,-1.08422,1.08561,1.09755,1.08366,1.14811
1.19278,-1.17944,1.18083,1.19278,1.17889,1.24333
1.2936,-1.28027,1.28166,1.2936,1.27972,1.34416
1.40019,-1.38686,1.38825,1.40019,1.3863,1.45075
1.5127,-1.49936,1.50075,1.5127,1.49881,1.56325
1.63128,-1.61789,1.61934,1.63128,1.61726,1.68184
1.75611,-1.74232,1.74406,1.75611,1.74152,1.80667
1.88734,-1.87249,1.87477,1.88734,1.87142,1.93789
2.02512,-2.00825,2.01131,2.02512,2.00681,2.07568
2.16963,-2.14943,2.15353,2.16963,2.14752,2.22019
2.32102,-2.29588,2.30126,2.32102,2.29339,2.37157
2.47944,-2.44743,2.45434,2.47944,2.44427,2.53
2.64501,-2.60393,2.61261,2.64501,2.59999,2.69563
2.81761,-2.76521,2.77592,2.81761,2.7604,2.86861
2.99708,-2.93112,2.9441,2.99708,2.92533,3.04912
3.18327,-3.10149,3.117,3.18327,3.09462,3.23731
3.376,-3.27616,3.29444,3.376,3.26812,3.43333
3.57512,-3.45498,3.47628,3.57512,3.44566,3.63733
3.78048,-3.63778,3.66236,3.78048,3.62709,3.84933
3.9919,-3.82441,3.8525,3.9919,3.81224,4.06933
4.20924,-4.0147,4.04656,4.20924,4.00095,4.29733
4.43233,-4.2085,4.24437,4.43233,4.19307,4.53333
4.66101,-4.40564,4.44577,4.66101,4.38843,4.77733
4.89511,-4.60596,4.65061,4.89511,4.58688,5.02933
5.1345,-4.80931,4.85872,5.1345,4.78825,5.28933
5.37899,-5.01553,5.06994,5.37899,4.99238,5.55733
5.62843,-5.22445,5.28412,5.62843,5.19912,5.83333
5.88266,-5.43591,5.50108,5.88266,5.4083,6.11733
6.14153,-5.64976,5.72069,6.14153,5.61976,6.40933
6.40486,-5.86583,5.94276,6.40486,5.83335,6.70933
6.67251,-6.08397,6.16715,6.67251,6.04891,7.01733
6.94431,-6.30401,6.39369,6.94431,6.26626,7.33333
7.2201,-6.52579,6.62222,7.2201,6.48526,7.65733
7.49972,-6.74916,6.85258,7.49972,6.70575,7.98933
7.78301,-6.97396,7.08462,7.78301,6.92756,8.32933
8.06981,-7.20001,7.31817,8.06981,7.15053,8.67733
8.35996,-7.42718,7.55308,8.35996,7.37451,9.03333
8.65331,-7.65528,7.78917,8.65331,7.59933,9.39733
8.94968,-7.88418,8.0263,8.94968,7.82484,9.76933
9.24893,-8.11369,8.2643,9.24893,8.05086,10.1493
9.55088,-8.34367,8.50302,9.55088,8.27726,10.5373
