point_index,timestamp_us,plan_pos_0,plan_pos_1,plan_pos_2,plan_pos_3,plan_pos_4,plan_pos_5,actual_pos_0,actual_pos_1,actual_pos_2,actual_pos_3,actual_pos_4,actual_pos_5,current_0,current_1,current_2,current_3,current_4,current_5
0,1743668119079223,0.049497,-0.036163,0.037552,0.049497,0.035608,0.100052,0.105000,-0.020000,0.048000,0.028000,0.065000,0.156000,-146.000000,-943.000000,-2337.000000,107.000000,-426.000000,-87.000000
1,1743668119083582,0.049861,-0.036528,0.037917,0.049861,0.035972,0.100417,0.105000,-0.020000,0.046000,0.028000,0.061000,0.155000,-143.000000,-971.000000,-2332.000000,106.000000,-401.000000,-93.000000
2,1743668119089000,0.050851,-0.037517,0.038906,0.050851,0.036962,0.101406,0.103000,-0.022000,0.046000,0.027000,0.060000,0.155000,-141.000000,-986.000000,-2327.000000,107.000000,-408.000000,-93.000000
3,1743668119093370,0.052778,-0.039444,0.040833,0.052778,0.038889,0.103333,0.103000,-0.017000,0.045000,0.027000,0.060000,0.152000,-133.000000,-1000.000000,-2348.000000,109.000000,-398.000000,-114.000000
4,1743668119098729,0.055955,-0.042622,0.044010,0.055955,0.042066,0.106510,0.103000,-0.019000,0.044000,0.027000,0.057000,0.153000,-156.000000,-1021.000000,-2358.000000,117.000000,-389.000000,-88.000000
5,1743668119104129,0.060694,-0.047361,0.048750,0.060694,0.046806,0.111250,0.101000,-0.019000,0.045000,0.027000,0.057000,0.155000,-141.000000,-1042.000000,-2373.000000,119.000000,-373.000000,-112.000000
6,1743668119108437,0.067309,-0.053976,0.055365,0.067309,0.053420,0.117865,0.103000,-0.017000,0.042000,0.028000,0.054000,0.153000,-133.000000,-1057.000000,-2360.000000,123.000000,-380.000000,-115.000000
7,1743668119113889,0.076111,-0.062778,0.064167,0.076111,0.062222,0.126667,0.101000,-0.017000,0.042000,0.027000,0.053000,0.151000,-159.000000,-1069.000000,-2420.000000,131.000000,-374.000000,-103.000000
8,1743668119118240,0.087413,-0.074080,0.075469,0.087413,0.073524,0.137969,0.103000,-0.016000,0.044000,0.028000,0.052000,0.153000,-143.000000,-1091.000000,-2387.000000,137.000000,-370.000000,-110.000000
9,1743668119124739,0.101528,-0.088194,0.089583,0.101528,0.087639,0.152083,0.101000,-0.017000,0.042000,0.028000,0.052000,0.151000,-155.000000,-1109.000000,-2406.000000,129.000000,-374.000000,-121.000000
10,1743668119129093,0.118767,-0.105434,0.106823,0.118767,0.104878,0.169323,0.100000,-0.019000,0.041000,0.027000,0.052000,0.149000,-165.000000,-1135.000000,-2414.000000,146.000000,-378.000000,-117.000000
10,1743668119133429,0.118767,-0.105434,0.106823,0.118767,0.104878,0.169323,0.098000,-0.017000,0.039000,0.027000,0.049000,0.151000,-171.000000,-1154.000000,-2422.000000,153.000000,-386.000000,-109.000000
12,1743668119138802,0.163872,-0.150538,0.151927,0.163872,0.149983,0.214427,0.097000,-0.017000,0.039000,0.026000,0.049000,0.151000,-148.000000,-1171.000000,-2357.000000,146.000000,-372.000000,-114.000000
13,1743668119144362,0.192361,-0.179028,0.180417,0.192361,0.178472,0.242917,0.096000,-0.020000,0.038000,0.027000,0.046000,0.149000,-147.000000,-1190.000000,-2360.000000,158.000000,-367.000000,-119.000000
13,1743668119149060,0.192361,-0.179028,0.180417,0.192361,0.178472,0.242917,0.096000,-0.020000,0.037000,0.027000,0.046000,0.148000,55.000000,-1368.000000,-2147.000000,245.000000,-277.000000,-72.000000
14,1743668119153603,0.225226,-0.211892,0.213281,0.225226,0.211337,0.275781,0.100000,-0.019000,0.038000,0.033000,0.046000,0.152000,454.000000,-1882.000000,-1558.000000,384.000000,-12.000000,122.000000
15,1743668119159197,0.262778,-0.249444,0.250833,0.262778,0.248889,0.313333,0.108000,-0.019000,0.039000,0.046000,0.052000,0.160000,375.000000,-2050.000000,-1074.000000,285.000000,19.000000,165.000000
16,1743668119163594,0.305330,-0.291997,0.293385,0.305330,0.291441,0.355885,0.120000,-0.024000,0.041000,0.063000,0.057000,0.167000,287.000000,-2289.000000,-659.000000,299.000000,70.000000,205.000000
17,1743668119169418,0.353194,-0.339861,0.341250,0.353194,0.339306,0.403750,0.137000,-0.034000,0.048000,0.085000,0.070000,0.175000,411.000000,-2459.000000,-439.000000,253.000000,98.000000,335.000000
18,1743668119174006,0.406684,-0.393351,0.394740,0.406684,0.392795,0.457240,0.137000,-0.034000,0.048000,0.085000,0.070000,0.175000,411.000000,-2459.000000,-439.000000,253.000000,98.000000,335.000000
19,1743668119178601,0.466111,-0.452778,0.454167,0.466111,0.452222,0.516667,0.164000,-0.048000,0.067000,0.107000,0.085000,0.181000,468.000000,-2805.000000,-215.000000,196.000000,121.000000,331.000000
