point_index,timestamp_us,plan_pos_0,plan_pos_1,plan_pos_2,plan_pos_3,plan_pos_4,plan_pos_5,actual_pos_0,actual_pos_1,actual_pos_2,actual_pos_3,actual_pos_4,actual_pos_5,current_0,current_1,current_2,current_3,current_4,current_5
1,1743685244680169,0.049471,-0.036138,0.037527,0.049471,0.035582,0.100027,0.108000,-0.027000,0.048000,0.034000,0.064000,0.162000,-125.000000,-934.000000,-2326.000000,71.000000,-437.000000,-39.000000
3,1743685244685762,0.049658,-0.036324,0.037713,0.049658,0.035769,0.100213,0.108000,-0.026000,0.046000,0.033000,0.061000,0.163000,-117.000000,-957.000000,-2333.000000,81.000000,-413.000000,-65.000000
5,1743685244690233,0.050164,-0.036831,0.038220,0.050164,0.036276,0.100720,0.107000,-0.026000,0.046000,0.033000,0.059000,0.162000,-124.000000,-975.000000,-2324.000000,85.000000,-426.000000,-52.000000
8,1743685244695802,0.051874,-0.038541,0.039930,0.051874,0.037986,0.102430,0.107000,-0.024000,0.045000,0.033000,0.057000,0.160000,-122.000000,-989.000000,-2354.000000,92.000000,-389.000000,-37.000000
10,1743685244700300,0.053881,-0.040548,0.041937,0.053881,0.039992,0.104437,0.105000,-0.026000,0.042000,0.031000,0.057000,0.160000,-110.000000,-1008.000000,-2349.000000,96.000000,-414.000000,-61.000000
13,1743685244705795,0.058591,-0.045258,0.046647,0.058591,0.044702,0.109147,0.104000,-0.024000,0.042000,0.034000,0.056000,0.157000,-132.000000,-1024.000000,-2347.000000,90.000000,-412.000000,-43.000000
15,1743685244710232,0.063098,-0.049764,0.051153,0.063098,0.049209,0.113653,0.105000,-0.023000,0.042000,0.033000,0.054000,0.159000,-132.000000,-1048.000000,-2366.000000,100.000000,-393.000000,-57.000000
17,1743685244715749,0.068884,-0.055551,0.056940,0.068884,0.054996,0.119440,0.105000,-0.023000,0.042000,0.034000,0.053000,0.159000,-131.000000,-1070.000000,-2388.000000,108.000000,-408.000000,-57.000000
19,1743685244720276,0.076111,-0.062778,0.064167,0.076111,0.062222,0.126667,0.104000,-0.023000,0.042000,0.034000,0.052000,0.157000,-157.000000,-1086.000000,-2383.000000,111.000000,-399.000000,-72.000000
22,1743685244725824,0.090001,-0.076668,0.078057,0.090001,0.076112,0.140557,0.104000,-0.023000,0.041000,0.033000,0.050000,0.156000,-155.000000,-1101.000000,-2384.000000,119.000000,-400.000000,-79.000000
24,1743685244730298,0.101528,-0.088194,0.089583,0.101528,0.087639,0.152083,0.104000,-0.023000,0.041000,0.033000,0.050000,0.156000,-155.000000,-1101.000000,-2384.000000,119.000000,-400.000000,-79.000000
27,1743685244735934,0.122618,-0.109284,0.110673,0.122618,0.108729,0.173173,0.103000,-0.026000,0.039000,0.034000,0.049000,0.157000,-114.000000,-1140.000000,-2337.000000,127.000000,-379.000000,-59.000000
29,1743685244740368,0.139444,-0.126111,0.127500,0.139444,0.125556,0.190000,0.103000,-0.026000,0.039000,0.034000,0.049000,0.157000,-114.000000,-1140.000000,-2337.000000,127.000000,-379.000000,-59.000000
31,1743685244745830,0.158671,-0.145338,0.146727,0.158671,0.144782,0.209227,0.101000,-0.024000,0.037000,0.033000,0.050000,0.159000,-28.000000,-1279.000000,-2159.000000,172.000000,-332.000000,-15.000000
33,1743685244750249,0.180458,-0.167124,0.168513,0.180458,0.166569,0.231013,0.103000,-0.024000,0.039000,0.034000,0.049000,0.156000,10.000000,-1352.000000,-2054.000000,170.000000,-277.000000,0.000000
36,1743685244755812,0.218288,-0.204954,0.206343,0.218288,0.204399,0.268843,0.101000,-0.024000,0.039000,0.035000,0.049000,0.159000,36.000000,-1456.000000,-1972.000000,181.000000,-250.000000,19.000000
38,1743685244760273,0.247174,-0.233841,0.235230,0.247174,0.233286,0.297730,0.103000,-0.026000,0.038000,0.037000,0.049000,0.159000,92.000000,-1541.000000,-1873.000000,199.000000,-241.000000,36.000000
41,1743685244767023,0.296404,-0.283071,0.284460,0.296404,0.282516,0.346960,0.104000,-0.026000,0.039000,0.038000,0.049000,0.157000,87.000000,-1593.000000,-1820.000000,221.000000,-222.000000,43.000000
43,1743685244771502,0.333391,-0.320058,0.321447,0.333391,0.319502,0.383947,0.105000,-0.024000,0.038000,0.039000,0.050000,0.160000,88.000000,-1672.000000,-1755.000000,216.000000,-200.000000,57.000000
46,1743685244777011,0.395521,-0.382188,0.383577,0.395521,0.381632,0.446077,0.107000,-0.023000,0.037000,0.043000,0.049000,0.160000,271.000000,-1853.000000,-1596.000000,249.000000,-130.000000,117.000000
48,1743685244781460,0.441608,-0.428274,0.429663,0.441608,0.427719,0.492163,0.112000,-0.024000,0.037000,0.050000,0.049000,0.160000,389.000000,-2050.000000,-1200.000000,280.000000,-39.000000,177.000000
50,1743685244785899,0.491614,-0.478281,0.479670,0.491614,0.477726,0.542170,0.120000,-0.024000,0.039000,0.059000,0.052000,0.166000,235.000000,-2135.000000,-1062.000000,215.000000,-8.000000,185.000000
52,1743685244791416,0.545701,-0.532368,0.533757,0.545701,0.531812,0.596257,0.130000,-0.030000,0.039000,0.070000,0.053000,0.170000,171.000000,-2168.000000,-842.000000,205.000000,36.000000,222.000000
55,1743685244797000,0.634831,-0.621498,0.622887,0.634831,0.620942,0.685387,0.138000,-0.031000,0.041000,0.078000,0.056000,0.177000,188.000000,-2245.000000,-679.000000,160.000000,49.000000,239.000000
57,1743685244801502,0.699818,-0.686484,0.687873,0.699818,0.685929,0.750373,0.144000,-0.037000,0.045000,0.090000,0.060000,0.183000,151.000000,-2284.000000,-646.000000,117.000000,40.000000,232.000000
59,1743685244807038,0.769444,-0.756111,0.757500,0.769444,0.755556,0.820000,0.155000,-0.042000,0.048000,0.103000,0.064000,0.183000,265.000000,-2397.000000,-402.000000,172.000000,105.000000,230.000000
62,1743685244811526,0.882934,-0.869601,0.870990,0.882934,0.869046,0.933490,0.170000,-0.056000,0.055000,0.123000,0.071000,0.189000,466.000000,-2726.000000,-198.000000,174.000000,178.000000,317.000000
64,1743685244815985,0.964861,-0.951528,0.952917,0.964861,0.950972,1.015420,0.186000,-0.072000,0.071000,0.146000,0.092000,0.197000,435.000000,-2693.000000,-258.000000,117.000000,110.000000,256.000000
67,1743685244822493,1.097550,-1.084220,1.085610,1.097550,1.083660,1.148110,0.212000,-0.096000,0.093000,0.177000,0.107000,0.199000,-33.000000,-2524.000000,-507.000000,-62.000000,-19.000000,253.000000
69,1743685244826882,1.192780,-1.179440,1.180830,1.192780,1.178890,1.243330,0.234000,-0.116000,0.115000,0.196000,0.127000,0.197000,-58.000000,-2663.000000,-674.000000,-78.000000,-58.000000,203.000000
71,1743685244832341,1.293600,-1.280270,1.281660,1.293600,1.279720,1.344160,0.243000,-0.127000,0.127000,0.223000,0.142000,0.199000,91.000000,-2639.000000,-570.000000,-188.000000,-31.000000,95.000000
74,1743685244837809,1.455690,-1.442360,1.443750,1.455690,1.441810,1.506250,0.267000,-0.146000,0.144000,0.241000,0.159000,0.208000,32.000000,-2502.000000,-476.000000,-128.000000,-1.000000,42.000000
76,1743685244842278,1.571220,-1.557880,1.559280,1.571220,1.557300,1.621780,0.281000,-0.170000,0.170000,0.266000,0.181000,0.233000,144.000000,-2883.000000,-187.000000,107.000000,128.000000,163.000000
79,1743685244848954,1.756110,-1.742320,1.744060,1.756110,1.741520,1.806670,0.298000,-0.190000,0.192000,0.289000,0.204000,0.263000,530.000000,-2990.000000,-242.000000,164.000000,231.000000,154.000000
81,1743685244853431,1.887340,-1.872490,1.874770,1.887340,1.871420,1.937890,0.298000,-0.190000,0.192000,0.289000,0.204000,0.263000,530.000000,-2990.000000,-242.000000,164.000000,231.000000,154.000000
83,1743685244857892,2.025120,-2.008250,2.011310,2.025120,2.006810,2.075680,0.370000,-0.274000,0.295000,0.374000,0.274000,0.330000,199.000000,-2651.000000,-901.000000,155.000000,206.000000,227.000000
86,1743685244863410,2.244450,-2.222010,2.226710,2.244450,2.219820,2.295010,0.407000,-0.309000,0.336000,0.413000,0.310000,0.368000,239.000000,-2819.000000,-707.000000,222.000000,122.000000,297.000000
88,1743685244867843,2.399340,-2.371030,2.377140,2.399340,2.368220,2.449900,0.433000,-0.340000,0.366000,0.443000,0.330000,0.399000,170.000000,-2853.000000,-758.000000,260.000000,-8.000000,173.000000
91,1743685244874455,2.645010,-2.603930,2.612610,2.645010,2.599990,2.695630,0.468000,-0.385000,0.407000,0.473000,0.370000,0.438000,573.000000,-2737.000000,-412.000000,368.000000,98.000000,230.000000
93,1743685244878982,2.817610,-2.765210,2.775920,2.817610,2.760400,2.868610,0.468000,-0.385000,0.407000,0.473000,0.370000,0.438000,573.000000,-2737.000000,-412.000000,368.000000,98.000000,230.000000
95,1743685244884634,2.997080,-2.931120,2.944100,2.997080,2.925330,3.049120,0.549000,-0.491000,0.519000,0.575000,0.464000,0.553000,621.000000,-3251.000000,-333.000000,258.000000,282.000000,411.000000
97,1743685244889163,3.183270,-3.101490,3.117000,3.183270,3.094620,3.237310,0.587000,-0.538000,0.570000,0.620000,0.539000,0.628000,113.000000,-2817.000000,-700.000000,75.000000,124.000000,366.000000
100,1743685244894720,3.474770,-3.365060,3.384820,3.474770,3.356390,3.534330,0.649000,-0.608000,0.641000,0.689000,0.601000,0.708000,124.000000,-2473.000000,-551.000000,-59.000000,-49.000000,169.000000
103,1743685244901331,3.780480,-3.637780,3.662360,3.780480,3.627090,3.849330,0.694000,-0.653000,0.678000,0.725000,0.646000,0.767000,184.000000,-2490.000000,-544.000000,-9.000000,77.000000,159.000000
105,1743685244905743,3.991900,-3.824410,3.852500,3.991900,3.812240,4.069330,0.694000,-0.653000,0.678000,0.725000,0.646000,0.767000,184.000000,-2490.000000,-544.000000,-9.000000,77.000000,159.000000
107,1743685244910162,4.209240,-4.014700,4.046560,4.209240,4.000950,4.297330,0.807000,-0.778000,0.808000,0.843000,0.759000,0.870000,1054.000000,-3190.000000,77.000000,447.000000,407.000000,537.000000
110,1743685244915665,4.545980,-4.306660,4.344630,4.545980,4.290350,4.654330,0.869000,-0.850000,0.879000,0.920000,0.844000,0.943000,1064.000000,-3343.000000,466.000000,558.000000,292.000000,472.000000
112,1743685244920109,4.777390,-4.505410,4.547770,4.777390,4.487280,4.902330,0.955000,-0.946000,0.984000,1.003000,0.918000,1.011000,220.000000,-2795.000000,-526.000000,300.000000,96.000000,176.000000
115,1743685244926703,5.134500,-4.809310,4.858720,5.134500,4.788250,5.289330,1.035000,-1.046000,1.080000,1.097000,1.027000,1.113000,248.000000,-2782.000000,-598.000000,45.000000,17.000000,328.000000
117,1743685244931201,5.378990,-5.015530,5.069940,5.378990,4.992380,5.557330,1.035000,-1.046000,1.080000,1.097000,1.027000,1.113000,248.000000,-2782.000000,-598.000000,45.000000,17.000000,328.000000
120,1743685244936740,5.754960,-5.329870,5.392260,5.754960,5.303410,5.974330,1.182000,-1.229000,1.247000,1.271000,1.201000,1.289000,421.000000,-3222.000000,-418.000000,322.000000,221.000000,288.000000
122,1743685244941205,6.011530,-5.542550,5.610570,6.011530,5.513750,6.262330,1.248000,-1.304000,1.295000,1.334000,1.270000,1.359000,740.000000,-3649.000000,295.000000,689.000000,388.000000,508.000000
124,1743685244946694,6.272650,-5.757520,5.831420,6.272650,5.726300,6.558330,1.332000,-1.395000,1.384000,1.436000,1.409000,1.484000,1153.000000,-3647.000000,75.000000,607.000000,359.000000,615.000000
127,1743685244952167,6.672510,-6.083970,6.167150,6.672510,6.048910,7.017330,1.469000,-1.527000,1.517000,1.571000,1.498000,1.560000,817.000000,-3298.000000,-296.000000,71.000000,281.000000,364.000000
129,1743685244956586,6.944310,-6.304010,6.393690,6.944310,6.266260,7.333330,1.469000,-1.527000,1.517000,1.571000,1.498000,1.560000,817.000000,-3298.000000,-296.000000,71.000000,281.000000,364.000000
131,1743685244960980,7.220100,-6.525790,6.622220,7.220100,6.485260,7.657330,1.731000,-1.742000,1.727000,1.805000,1.708000,1.756000,88.000000,-2514.000000,-596.000000,250.000000,242.000000,270.000000
133,1743685244966495,7.499720,-6.749160,6.852580,7.499720,6.705750,7.989330,1.880000,-1.825000,1.808000,1.895000,1.836000,1.880000,362.000000,-2745.000000,-441.000000,306.000000,74.000000,331.000000
135,1743685244970928,7.783010,-6.973960,7.084620,7.783010,6.927560,8.329330,1.952000,-1.951000,1.935000,2.025000,1.951000,2.014000,475.000000,-2589.000000,-124.000000,258.000000,280.000000,442.000000
138,1743685244976448,8.214480,-7.313470,7.435460,8.214480,7.262410,8.854330,2.081000,-2.090000,2.055000,2.169000,2.072000,2.165000,1282.000000,-3505.000000,405.000000,432.000000,413.000000,627.000000
140,1743685244980870,8.506240,-7.541120,7.670980,8.506240,7.486820,9.214330,2.081000,-2.090000,2.055000,2.169000,2.072000,2.165000,1282.000000,-3505.000000,405.000000,432.000000,413.000000,627.000000
142,1743685244986432,8.801120,-7.769640,7.907620,8.801120,7.712010,9.582330,2.235000,-2.223000,2.219000,2.345000,2.171000,2.257000,1287.000000,-3190.000000,211.000000,400.000000,379.000000,604.000000
144,1743685244990874,9.098950,-7.998870,8.145200,9.098950,7.937790,9.958330,2.357000,-2.320000,2.334000,2.466000,2.337000,2.423000,586.000000,-2907.000000,-723.000000,312.000000,120.000000,441.000000
147,1743685244996421,9.550880,-8.343670,8.503020,9.550880,8.277260,10.537300,2.532000,-2.465000,2.499000,2.642000,2.436000,2.541000,339.000000,-2878.000000,-419.000000,19.000000,46.000000,198.000000
150,1743685245001948,10.008600,-8.689170,8.862080,10.008600,8.617180,11.134300,2.690000,-2.606000,2.654000,2.739000,2.563000,2.706000,296.000000,-2648.000000,-710.000000,333.000000,109.000000,353.000000
152,1743685245006343,10.316600,-8.919610,9.101880,10.316600,8.843830,11.542300,2.789000,-2.701000,2.750000,2.871000,2.709000,2.892000,158.000000,-2658.000000,-366.000000,296.000000,80.000000,238.000000
154,1743685245011773,10.626800,-9.150060,9.341830,10.626800,9.070480,11.958300,2.956000,-2.852000,2.896000,3.028000,2.791000,3.021000,717.000000,-3093.000000,-80.000000,502.000000,340.000000,644.000000
156,1743685245016145,10.938900,-9.380510,9.581800,10.938900,9.297140,12.382300,3.070000,-2.949000,3.015000,3.143000,2.960000,3.184000,1646.000000,-3852.000000,565.000000,532.000000,287.000000,781.000000
159,1743685245021598,11.410600,-9.726190,9.941760,11.410600,9.637110,13.033300,3.284000,-3.121000,3.194000,3.315000,3.158000,3.413000,649.000000,-3098.000000,-521.000000,366.000000,40.000000,325.000000
161,1743685245025990,11.727000,-9.956640,10.181700,11.727000,9.863760,13.477300,3.508000,-3.291000,3.363000,3.510000,3.276000,3.559000,257.000000,-3124.000000,-413.000000,269.000000,-10.000000,314.000000
163,1743685245031470,12.044900,-10.187100,10.421700,12.044900,10.090400,13.929300,3.661000,-3.405000,3.467000,3.637000,3.446000,3.750000,47.000000,-2998.000000,-485.000000,385.000000,63.000000,165.000000
166,1743685245036944,12.524100,-10.532800,10.781700,12.524100,10.430400,14.622300,3.883000,-3.602000,3.646000,3.871000,3.584000,3.924000,91.000000,-2682.000000,-481.000000,220.000000,46.000000,488.000000
168,1743685245041436,12.844900,-10.763200,11.021600,12.844900,10.657000,15.094300,4.008000,-3.716000,3.753000,4.015000,3.691000,4.047000,1020.000000,-3137.000000,49.000000,389.000000,79.000000,446.000000
170,1743685245045901,13.166500,-10.993700,11.261600,13.166500,10.883700,15.574300,4.178000,-3.869000,3.901000,4.206000,3.887000,4.329000,1428.000000,-3533.000000,649.000000,766.000000,246.000000,700.000000
172,1743685245051548,13.488800,-11.224100,11.501600,13.488800,11.110300,16.062300,4.420000,-4.060000,4.095000,4.448000,4.004000,4.486000,712.000000,-3038.000000,-231.000000,24.000000,324.000000,475.000000
175,1743685245057167,13.973300,-11.569800,11.861500,13.973300,11.450300,16.809299,4.632000,-4.231000,4.273000,4.658000,4.194000,4.735000,261.000000,-2742.000000,-403.000000,393.000000,-19.000000,380.000000
177,1743685245061614,14.296800,-11.800200,12.101500,14.296800,11.677000,17.317301,4.632000,-4.231000,4.273000,4.658000,4.194000,4.735000,261.000000,-2742.000000,-403.000000,393.000000,-19.000000,380.000000
179,1743685245065997,14.620300,-12.030700,12.341500,14.620300,11.903600,17.833300,4.915000,-4.468000,4.522000,4.971000,4.478000,5.197000,400.000000,-2701.000000,-426.000000,0.000000,190.000000,346.000000
182,1743685245071486,15.105700,-12.376400,12.701500,15.105700,12.243600,18.622200,5.191000,-4.688000,4.754000,5.207000,4.597000,5.361000,733.000000,-2645.000000,57.000000,460.000000,201.000000,406.000000
184,1743685245076958,15.429300,-12.606800,12.941400,15.429300,12.470300,19.157900,5.450000,-4.884000,4.949000,5.442000,4.776000,5.637000,1107.000000,-3451.000000,333.000000,446.000000,266.000000,793.000000
