point_index,timestamp_us,plan_pos_0,plan_pos_1,plan_pos_2,plan_pos_3,plan_pos_4,plan_pos_5,actual_pos_0,actual_pos_1,actual_pos_2,actual_pos_3,actual_pos_4,actual_pos_5,current_0,current_1,current_2,current_3,current_4,current_5
0,1743686364359351,0.049456,-0.036122,0.037511,0.049456,0.035567,0.100011,0.109000,-0.030000,0.048000,0.057000,0.059000,0.177000,-165.000000,-927.000000,-2285.000000,-858.000000,-388.000000,-100.000000
2,1743686364364951,0.049748,-0.036415,0.037804,0.049748,0.035859,0.100304,0.109000,-0.030000,0.046000,0.057000,0.057000,0.175000,-164.000000,-951.000000,-2296.000000,-856.000000,-398.000000,-59.000000
3,1743686364369466,0.050164,-0.036831,0.038220,0.050164,0.036276,0.100720,0.111000,-0.028000,0.046000,0.059000,0.056000,0.174000,-165.000000,-967.000000,-2278.000000,-869.000000,-409.000000,-116.000000
5,1743686364373919,0.051874,-0.038541,0.039930,0.051874,0.037986,0.102430,0.108000,-0.028000,0.045000,0.057000,0.056000,0.174000,-176.000000,-979.000000,-2292.000000,-868.000000,-397.000000,-113.000000
7,1743686364379488,0.055204,-0.041871,0.043260,0.055204,0.041316,0.105760,0.109000,-0.028000,0.044000,0.057000,0.056000,0.173000,-170.000000,-1003.000000,-2254.000000,-877.000000,-398.000000,-88.000000
8,1743686364383945,0.057646,-0.044312,0.045701,0.057646,0.043757,0.108201,0.108000,-0.027000,0.044000,0.057000,0.053000,0.173000,-176.000000,-1026.000000,-2319.000000,-882.000000,-372.000000,-76.000000
10,1743686364389537,0.064418,-0.051085,0.052474,0.064418,0.050529,0.114974,0.108000,-0.027000,0.042000,0.057000,0.054000,0.171000,-168.000000,-1034.000000,-2311.000000,-873.000000,-387.000000,-100.000000
11,1743686364393977,0.068884,-0.055551,0.056940,0.068884,0.054996,0.119440,0.105000,-0.027000,0.042000,0.059000,0.052000,0.171000,-162.000000,-1063.000000,-2329.000000,-891.000000,-369.000000,-109.000000
13,1743686364399488,0.080314,-0.066981,0.068370,0.080314,0.066426,0.130870,0.107000,-0.026000,0.042000,0.057000,0.050000,0.171000,-180.000000,-1076.000000,-2346.000000,-892.000000,-378.000000,-105.000000
15,1743686364405074,0.095524,-0.082191,0.083580,0.095524,0.081636,0.146080,0.107000,-0.026000,0.042000,0.057000,0.050000,0.170000,-186.000000,-1094.000000,-2355.000000,-887.000000,-357.000000,-95.000000
16,1743686364410611,0.104716,-0.091382,0.092771,0.104716,0.090827,0.155271,0.104000,-0.027000,0.039000,0.057000,0.049000,0.170000,-168.000000,-1111.000000,-2385.000000,-895.000000,-364.000000,-110.000000
18,1743686364415052,0.126608,-0.113275,0.114664,0.126608,0.112719,0.177164,0.104000,-0.027000,0.039000,0.056000,0.046000,0.168000,-183.000000,-1130.000000,-2340.000000,-902.000000,-354.000000,-110.000000
20,1743686364420611,0.153631,-0.140297,0.141686,0.153631,0.139742,0.204186,0.101000,-0.027000,0.039000,0.057000,0.048000,0.168000,-192.000000,-1145.000000,-2343.000000,-908.000000,-359.000000,-116.000000
21,1743686364425108,0.169234,-0.155901,0.157290,0.169234,0.155346,0.219790,0.101000,-0.028000,0.039000,0.057000,0.043000,0.167000,-165.000000,-1166.000000,-2300.000000,-879.000000,-338.000000,-97.000000
23,1743686364430683,0.204964,-0.191631,0.193020,0.204964,0.191076,0.255520,0.101000,-0.028000,0.037000,0.056000,0.045000,0.168000,-116.000000,-1226.000000,-2203.000000,-842.000000,-312.000000,-54.000000
24,1743686364435152,0.225226,-0.211892,0.213281,0.225226,0.211337,0.275781,0.103000,-0.030000,0.039000,0.057000,0.043000,0.168000,170.000000,-1437.000000,-1901.000000,-740.000000,-186.000000,15.000000
26,1743686364440760,0.270878,-0.257545,0.258934,0.270878,0.256989,0.321434,0.105000,-0.028000,0.038000,0.059000,0.045000,0.170000,178.000000,-1598.000000,-1727.000000,-715.000000,-144.000000,73.000000
28,1743686364446383,0.323821,-0.310487,0.311876,0.323821,0.309932,0.374376,0.111000,-0.027000,0.038000,0.059000,0.045000,0.173000,125.000000,-1678.000000,-1650.000000,-652.000000,-101.000000,99.000000
29,1743686364450851,0.353194,-0.339861,0.341250,0.353194,0.339306,0.403750,0.115000,-0.028000,0.038000,0.060000,0.043000,0.174000,108.000000,-1831.000000,-1526.000000,-627.000000,-68.000000,95.000000
31,1743686364456382,0.418084,-0.404751,0.406140,0.418084,0.404196,0.468640,0.122000,-0.028000,0.038000,0.060000,0.045000,0.178000,181.000000,-1918.000000,-1407.000000,-601.000000,-40.000000,119.000000
33,1743686364461950,0.491614,-0.478281,0.479670,0.491614,0.477726,0.542170,0.123000,-0.027000,0.039000,0.061000,0.045000,0.179000,190.000000,-1954.000000,-1327.000000,-584.000000,-21.000000,148.000000
34,1743686364466455,0.531788,-0.518455,0.519844,0.531788,0.517899,0.582344,0.129000,-0.028000,0.039000,0.064000,0.045000,0.181000,197.000000,-2036.000000,-1212.000000,-555.000000,-4.000000,145.000000
36,1743686364470913,0.619291,-0.605957,0.607346,0.619291,0.605402,0.669846,0.134000,-0.030000,0.039000,0.064000,0.045000,0.182000,345.000000,-2228.000000,-933.000000,-479.000000,61.000000,241.000000
37,1743686364476503,0.666754,-0.653421,0.654810,0.666754,0.652866,0.717310,0.142000,-0.032000,0.041000,0.071000,0.046000,0.189000,609.000000,-2531.000000,-486.000000,-339.000000,214.000000,265.000000
39,1743686364482054,0.769444,-0.756111,0.757500,0.769444,0.755556,0.820000,0.159000,-0.042000,0.052000,0.082000,0.060000,0.203000,754.000000,-2919.000000,-77.000000,-139.000000,294.000000,250.000000
40,1743686364486483,0.824806,-0.811472,0.812861,0.824806,0.810917,0.875361,0.190000,-0.065000,0.076000,0.093000,0.083000,0.208000,273.000000,-2618.000000,-491.000000,-13.000000,125.000000,105.000000
42,1743686364490934,0.943898,-0.930565,0.931954,0.943898,0.930009,0.994454,0.221000,-0.090000,0.103000,0.101000,0.101000,0.210000,-111.000000,-2662.000000,-609.000000,242.000000,119.000000,128.000000
44,1743686364496525,1.074600,-1.061270,1.062660,1.074600,1.060710,1.125160,0.241000,-0.108000,0.120000,0.104000,0.124000,0.212000,1.000000,-2803.000000,-618.000000,331.000000,-28.000000,-68.000000
45,1743686364501064,1.144470,-1.131140,1.132530,1.144470,1.130590,1.195030,0.266000,-0.137000,0.144000,0.108000,0.140000,0.222000,115.000000,-2735.000000,-458.000000,433.000000,-9.000000,-53.000000
47,1743686364506639,1.293600,-1.280270,1.281660,1.293600,1.279720,1.344160,0.281000,-0.156000,0.160000,0.115000,0.166000,0.251000,-121.000000,-2658.000000,-454.000000,565.000000,-35.000000,-21.000000
48,1743686364511086,1.373000,-1.359660,1.361050,1.373000,1.359110,1.423550,0.304000,-0.185000,0.186000,0.122000,0.192000,0.277000,207.000000,-2578.000000,-571.000000,689.000000,-27.000000,142.000000
50,1743686364516671,1.541770,-1.528430,1.529820,1.541770,1.527870,1.592320,0.324000,-0.215000,0.214000,0.129000,0.208000,0.292000,270.000000,-2410.000000,-267.000000,890.000000,10.000000,248.000000
52,1743686364523333,1.724310,-1.710670,1.712310,1.724310,1.709920,1.774870,0.324000,-0.215000,0.214000,0.129000,0.208000,0.292000,270.000000,-2410.000000,-267.000000,890.000000,10.000000,248.000000
54,1743686364528861,1.921160,-1.905920,1.908360,1.921160,1.904760,1.971720,0.347000,-0.251000,0.250000,0.138000,0.232000,0.318000,1056.000000,-3408.000000,321.000000,1230.000000,385.000000,535.000000
55,1743686364533275,2.025120,-2.008250,2.011310,2.025120,2.006810,2.075680,0.450000,-0.355000,0.384000,0.210000,0.358000,0.411000,281.000000,-2781.000000,-745.000000,1696.000000,-87.000000,263.000000
57,1743686364538814,2.244450,-2.222010,2.226710,2.244450,2.219820,2.295010,0.494000,-0.396000,0.431000,0.234000,0.392000,0.454000,250.000000,-2784.000000,-894.000000,1876.000000,-107.000000,287.000000
58,1743686364543293,2.359960,-2.333300,2.339030,2.359960,2.330650,2.410510,0.557000,-0.462000,0.499000,0.263000,0.457000,0.538000,187.000000,-2850.000000,-955.000000,1822.000000,25.000000,212.000000
60,1743686364548846,2.602960,-2.564350,2.572570,2.602960,2.560620,2.653540,0.596000,-0.505000,0.546000,0.320000,0.512000,0.605000,89.000000,-2878.000000,-707.000000,1297.000000,217.000000,246.000000
62,1743686364553264,2.861840,-2.806260,2.817520,2.861840,2.801210,2.913030,0.596000,-0.505000,0.546000,0.320000,0.512000,0.605000,89.000000,-2878.000000,-707.000000,1297.000000,217.000000,246.000000
63,1743686364558832,2.997080,-2.931120,2.944100,2.997080,2.925330,3.049120,0.657000,-0.583000,0.615000,0.440000,0.554000,0.657000,165.000000,-2568.000000,-477.000000,-448.000000,65.000000,70.000000
65,1743686364564455,3.278820,-3.188300,3.205160,3.278820,3.180850,3.334330,0.753000,-0.699000,0.704000,0.591000,0.657000,0.795000,1585.000000,-3846.000000,635.000000,63.000000,572.000000,571.000000
67,1743686364568863,3.575120,-3.454980,3.476280,3.575120,3.445660,3.637330,0.810000,-0.782000,0.821000,0.671000,0.734000,0.863000,1653.000000,-3990.000000,604.000000,2067.000000,631.000000,848.000000
68,1743686364574491,3.728560,-3.591720,3.615450,3.728560,3.581380,3.795580,0.903000,-0.895000,0.947000,0.752000,0.888000,0.969000,381.000000,-2732.000000,-518.000000,1778.000000,2.000000,511.000000
70,1743686364578899,4.045690,-3.871650,3.900650,4.045690,3.859090,4.125580,0.969000,-0.972000,1.024000,0.859000,0.968000,1.049000,58.000000,-2721.000000,-738.000000,264.000000,74.000000,184.000000
71,1743686364584423,4.209240,-4.014700,4.046560,4.209240,4.000950,4.297330,1.069000,-1.093000,1.137000,0.980000,1.079000,1.161000,306.000000,-2980.000000,-479.000000,-1356.000000,24.000000,106.000000
73,1743686364589912,4.545980,-4.306660,4.344630,4.545980,4.290350,4.654330,1.069000,-1.093000,1.137000,0.980000,1.079000,1.161000,306.000000,-2980.000000,-479.000000,-1356.000000,24.000000,106.000000
75,1743686364594317,4.895110,-4.605960,4.650610,4.895110,4.586880,5.029330,1.145000,-1.171000,1.209000,1.053000,1.203000,1.271000,267.000000,-3120.000000,-634.000000,766.000000,187.000000,301.000000
77,1743686364601008,5.256110,-4.912070,4.963950,5.256110,4.889980,5.422330,1.262000,-1.289000,1.308000,1.120000,1.319000,1.381000,100.000000,-3018.000000,-598.000000,2170.000000,-42.000000,375.000000
78,1743686364605502,5.440890,-5.067510,5.123210,5.440890,5.043830,5.625580,1.492000,-1.503000,1.453000,1.333000,1.476000,1.533000,1336.000000,-3995.000000,-133.000000,-245.000000,617.000000,595.000000
80,1743686364611061,5.818660,-5.382810,5.446590,5.818660,5.355780,6.045580,1.608000,-1.624000,1.606000,1.539000,1.588000,1.649000,2313.000000,-4280.000000,1265.000000,642.000000,660.000000,673.000000
81,1743686364615608,6.011530,-5.542550,5.610570,6.011530,5.513750,6.262330,1.608000,-1.624000,1.606000,1.539000,1.588000,1.649000,2313.000000,-4280.000000,1265.000000,642.000000,660.000000,673.000000
83,1743686364621216,6.404860,-5.865830,5.942760,6.404860,5.833350,6.709330,1.775000,-1.734000,1.726000,1.617000,1.763000,1.804000,870.000000,-3184.000000,365.000000,2118.000000,329.000000,382.000000
85,1743686364625706,6.807900,-6.193760,6.280160,6.807900,6.157370,7.174330,1.902000,-1.893000,1.911000,1.871000,1.941000,1.980000,350.000000,-2886.000000,-482.000000,-741.000000,112.000000,412.000000
86,1743686364631271,7.012890,-6.359300,6.450640,7.012890,6.320870,7.413580,2.098000,-2.062000,2.073000,2.042000,2.075000,2.094000,194.000000,-2679.000000,-671.000000,-1285.000000,199.000000,276.000000
88,1743686364636808,7.429460,-6.693180,6.794830,7.429460,6.650500,7.905580,2.230000,-2.168000,2.185000,2.130000,2.175000,2.256000,288.000000,-3022.000000,-444.000000,2227.000000,134.000000,402.000000
89,1743686364641266,7.640910,-6.861390,6.968400,7.640910,6.816500,8.158330,2.377000,-2.326000,2.356000,2.351000,2.342000,2.364000,394.000000,-3016.000000,-780.000000,-893.000000,181.000000,427.000000
91,1743686364646856,8.069810,-7.200010,7.318170,8.069810,7.150530,8.677330,2.543000,-2.485000,2.517000,2.510000,2.438000,2.544000,264.000000,-2703.000000,-365.000000,769.000000,151.000000,167.000000
93,1743686364651340,8.506240,-7.541120,7.670980,8.506240,7.486820,9.214330,2.660000,-2.572000,2.605000,2.599000,2.573000,2.706000,740.000000,-2995.000000,-70.000000,2402.000000,633.000000,876.000000
94,1743686364655833,8.727120,-7.712440,7.848360,8.727120,7.655650,9.489580,2.830000,-2.742000,2.778000,2.849000,2.682000,2.863000,2515.000000,-4169.000000,1599.000000,-90.000000,716.000000,893.000000
96,1743686364661452,9.173850,-8.056260,8.204730,9.173850,7.994320,10.053600,2.962000,-2.875000,2.929000,2.977000,2.882000,3.107000,1721.000000,-3784.000000,644.000000,-84.000000,376.000000,675.000000
97,1743686364665877,9.399580,-8.228640,8.383580,9.399580,8.164030,10.342300,3.206000,-3.081000,3.155000,3.201000,3.118000,3.346000,375.000000,-3036.000000,-514.000000,778.000000,246.000000,433.000000
99,1743686364671377,9.855390,-8.573960,8.742290,9.855390,8.503850,10.933300,3.481000,-3.276000,3.352000,3.387000,3.300000,3.516000,226.000000,-3287.000000,-562.000000,286.000000,90.000000,398.000000
100,1743686364675780,10.085300,-8.746780,8.922010,10.085300,8.673840,11.235600,3.772000,-3.475000,3.539000,3.633000,3.430000,3.749000,242.000000,-3100.000000,-481.000000,312.000000,221.000000,152.000000
102,1743686364681361,10.549000,-9.092450,9.281830,10.549000,9.013820,11.853600,3.922000,-3.589000,3.646000,3.786000,3.641000,3.909000,354.000000,-2868.000000,-314.000000,-811.000000,70.000000,606.000000
103,1743686364685883,10.782600,-9.265290,9.461810,10.782600,9.183810,12.169300,4.110000,-3.793000,3.835000,4.004000,3.754000,4.133000,137.000000,-2736.000000,-593.000000,1467.000000,146.000000,423.000000
105,1743686364691476,11.253000,-9.610960,9.821770,11.253000,9.523790,12.814300,4.257000,-3.930000,3.960000,4.211000,3.946000,4.393000,556.000000,-3130.000000,63.000000,-749.000000,349.000000,766.000000
107,1743686364695926,11.727000,-9.956640,10.181700,11.727000,9.863760,13.477300,4.498000,-4.136000,4.161000,4.427000,4.150000,4.636000,2332.000000,-4239.000000,849.000000,1905.000000,602.000000,1314.000000
108,1743686364701499,11.965300,-10.129500,10.361700,11.965300,10.033800,13.815600,4.751000,-4.362000,4.408000,4.758000,4.347000,4.960000,1087.000000,-3016.000000,212.000000,-899.000000,181.000000,444.000000
110,1743686364705924,12.444100,-10.475100,10.721700,12.444100,10.373700,14.505600,4.961000,-4.508000,4.575000,4.875000,4.494000,5.200000,396.000000,-2825.000000,-475.000000,847.000000,205.000000,393.000000
112,1743686364713683,12.925200,-10.820800,11.081600,12.925200,10.713700,15.213600,5.245000,-4.721000,4.805000,5.219000,4.699000,5.409000,362.000000,-2618.000000,-409.000000,-944.000000,127.000000,197.000000
113,1743686364717009,13.166500,-10.993700,11.261600,13.166500,10.883700,15.574300,5.578000,-4.946000,5.038000,5.473000,4.847000,5.744000,303.000000,-3035.000000,-273.000000,1287.000000,187.000000,401.000000
115,1743686364722515,13.650200,-11.339300,11.621600,13.650200,11.223700,16.309299,5.831000,-5.169000,5.195000,5.645000,5.060000,6.053000,269.000000,-3003.000000,-505.000000,-967.000000,82.000000,546.000000
116,1743686364727013,13.892500,-11.512200,11.801600,13.892500,11.393700,16.683599,5.962000,-5.272000,5.379000,5.844000,5.235000,6.292000,83.000000,-2938.000000,-542.000000,1428.000000,95.000000,194.000000
118,1743686364732560,14.377600,-11.857800,12.161500,14.377600,11.733600,17.445601,6.135000,-5.412000,5.519000,6.027000,5.413000,6.550000,728.000000,-2706.000000,-5.000000,-561.000000,310.000000,870.000000
120,1743686364736996,14.863000,-12.203500,12.521500,14.863000,12.073600,18.225599,6.458000,-5.673000,5.773000,6.350000,5.660000,6.889000,1493.000000,-3328.000000,577.000000,1521.000000,446.000000,1249.000000
121,1743686364742545,15.105700,-12.376400,12.701500,15.105700,12.243600,18.622200,6.705000,-5.888000,6.000000,6.670000,5.912000,7.285000,1813.000000,-3718.000000,411.000000,471.000000,122.000000,679.000000
123,1743686364748128,15.591100,-12.722000,13.061400,15.591100,12.583600,19.428600,7.040000,-6.123000,6.260000,7.057000,6.094000,7.570000,481.000000,-2899.000000,-184.000000,-736.000000,130.000000,418.000000
125,1743686364752535,16.076500,-13.067700,13.421400,16.076500,12.923600,20.251900,7.294000,-6.274000,6.433000,7.202000,6.330000,7.835000,156.000000,-2673.000000,-440.000000,1155.000000,144.000000,531.000000
126,1743686364757099,16.319201,-13.240500,13.601400,16.319201,13.093600,20.669701,7.624000,-6.521000,6.682000,7.527000,6.475000,8.235000,285.000000,-2704.000000,-366.000000,-726.000000,44.000000,272.000000
128,1743686364762690,16.804600,-13.586200,13.961300,16.804600,13.433500,21.517401,7.892000,-6.768000,6.851000,7.708000,6.678000,8.569000,84.000000,-3014.000000,-430.000000,1369.000000,233.000000,459.000000
129,1743686364767215,17.047300,-13.759100,14.141300,17.047300,13.603500,21.947100,8.057000,-6.932000,7.090000,7.991000,6.891000,8.971000,305.000000,-3077.000000,-229.000000,-302.000000,242.000000,435.000000
131,1743686364772763,17.532700,-14.104700,14.501300,17.532700,13.943500,22.817900,8.331000,-7.157000,7.325000,8.322000,7.068000,9.235000,456.000000,-2885.000000,-139.000000,-15.000000,312.000000,628.000000
132,1743686364777227,17.775400,-14.277600,14.681200,17.775400,14.113500,23.258900,8.500000,-7.294000,7.463000,8.515000,7.216000,9.677000,1814.000000,-3411.000000,708.000000,1030.000000,583.000000,1199.000000
134,1743686364782846,18.260799,-14.623200,15.041200,18.260799,14.453500,24.151600,8.835000,-7.547000,7.726000,8.882000,7.463000,10.156000,1560.000000,-3554.000000,116.000000,-467.000000,294.000000,822.000000
136,1743686364789497,18.746201,-14.968900,15.401200,18.746201,14.793400,25.058300,8.835000,-7.547000,7.726000,8.882000,7.463000,10.156000,1560.000000,-3554.000000,116.000000,-467.000000,294.000000,822.000000
137,1743686364792881,18.988899,-15.141700,15.581100,18.988899,14.963400,25.516701,9.202000,-7.793000,7.970000,9.207000,7.649000,10.417000,351.000000,-2942.000000,-180.000000,576.000000,224.000000,387.000000
139,1743686364798417,19.474300,-15.487400,15.941100,19.474300,15.303400,26.443300,9.746000,-8.183000,8.388000,9.772000,8.026000,11.230000,209.000000,-2842.000000,-383.000000,-552.000000,225.000000,457.000000
141,1743686364803947,19.959600,-15.833100,16.301100,19.959600,15.643400,27.382500,9.941000,-8.333000,8.540000,9.956000,8.301000,11.688000,324.000000,-2672.000000,-18.000000,996.000000,264.000000,328.000000
142,1743686364808442,20.202299,-16.005899,16.481001,20.202299,15.813400,27.856701,10.288000,-8.596000,8.805000,10.275000,8.448000,12.047000,152.000000,-2976.000000,-501.000000,-118.000000,19.000000,320.000000
144,1743686364812902,20.687700,-16.351601,16.841000,20.687700,16.153299,28.813801,10.575000,-8.790000,9.007000,10.559000,8.646000,12.422000,144.000000,-2838.000000,-369.000000,59.000000,255.000000,455.000000
145,1743686364818498,20.930401,-16.524401,17.021000,20.930401,16.323299,29.296600,10.914000,-8.999000,9.243000,10.860000,8.860000,12.866000,1263.000000,-3186.000000,533.000000,1692.000000,515.000000,1175.000000
147,1743686364824073,21.415800,-16.870100,17.380899,21.415800,16.663300,30.270399,11.186000,-9.218000,9.466000,11.195000,9.132000,13.331000,1788.000000,-3554.000000,608.000000,-305.000000,207.000000,1424.000000
