point_index,timestamp_us,plan_pos_0,plan_pos_1,plan_pos_2,plan_pos_3,plan_pos_4,plan_pos_5,actual_pos_0,actual_pos_1,actual_pos_2,actual_pos_3,actual_pos_4,actual_pos_5,current_0,current_1,current_2,current_3,current_4,current_5
0,1743675103384690,0.049497,-0.036163,0.037552,0.049497,0.035608,0.100052,0.107000,-0.022000,0.048000,0.039000,0.065000,0.155000,-141.000000,-889.000000,-2303.000000,80.000000,-457.000000,-96.000000
1,1743675103390187,0.049861,-0.036528,0.037917,0.049861,0.035972,0.100417,0.107000,-0.022000,0.046000,0.039000,0.063000,0.155000,-157.000000,-900.000000,-2309.000000,79.000000,-474.000000,-76.000000
2,1743675103394536,0.050851,-0.037517,0.038906,0.050851,0.036962,0.101406,0.107000,-0.022000,0.045000,0.041000,0.061000,0.153000,-149.000000,-922.000000,-2297.000000,82.000000,-459.000000,-88.000000
3,1743675103400137,0.052778,-0.039444,0.040833,0.052778,0.038889,0.103333,0.104000,-0.022000,0.044000,0.038000,0.060000,0.156000,-154.000000,-936.000000,-2310.000000,91.000000,-455.000000,-92.000000
4,1743675103405571,0.055955,-0.042622,0.044010,0.055955,0.042066,0.106510,0.104000,-0.020000,0.045000,0.039000,0.059000,0.151000,-163.000000,-967.000000,-2308.000000,94.000000,-435.000000,-84.000000
5,1743675103409878,0.060694,-0.047361,0.048750,0.060694,0.046806,0.111250,0.104000,-0.022000,0.045000,0.041000,0.059000,0.153000,-159.000000,-985.000000,-2346.000000,101.000000,-457.000000,-92.000000
6,1743675103415333,0.067309,-0.053976,0.055365,0.067309,0.053420,0.117865,0.103000,-0.020000,0.042000,0.039000,0.057000,0.152000,-177.000000,-1004.000000,-2343.000000,106.000000,-464.000000,-98.000000
7,1743675103420817,0.076111,-0.062778,0.064167,0.076111,0.062222,0.126667,0.103000,-0.020000,0.042000,0.039000,0.057000,0.152000,-177.000000,-1004.000000,-2343.000000,106.000000,-464.000000,-98.000000
8,1743675103425225,0.087413,-0.074080,0.075469,0.087413,0.073524,0.137969,0.101000,-0.019000,0.042000,0.039000,0.056000,0.152000,-167.000000,-1028.000000,-2350.000000,109.000000,-422.000000,-105.000000
9,1743675103430750,0.101528,-0.088194,0.089583,0.101528,0.087639,0.152083,0.101000,-0.020000,0.042000,0.039000,0.054000,0.151000,-156.000000,-1035.000000,-2381.000000,115.000000,-438.000000,-94.000000
