point_index,timestamp_us,plan_pos_0,plan_pos_1,plan_pos_2,plan_pos_3,plan_pos_4,plan_pos_5,actual_pos_0,actual_pos_1,actual_pos_2,actual_pos_3,actual_pos_4,actual_pos_5,current_0,current_1,current_2,current_3,current_4,current_5,canfd_call_timestamp_us
54,1744086627586175,0.604028,-0.590694,0.592083,0.604028,0.590139,0.654583,0.145000,-0.034000,0.044000,0.092000,0.057000,0.178000,131.000000,-2274.000000,-571.000000,49.000000,48.000000,185.000000,1744086627584158
57,1744086627590678,0.699818,-0.686484,0.687873,0.699818,0.685929,0.750373,0.155000,-0.039000,0.045000,0.098000,0.061000,0.182000,68.000000,-2315.000000,-506.000000,42.000000,31.000000,146.000000,1744086627590631
59,1744086627596228,0.769444,-0.756111,0.757500,0.769444,0.755556,0.820000,0.160000,-0.045000,0.048000,0.104000,0.065000,0.185000,274.000000,-2450.000000,-309.000000,156.000000,147.000000,221.000000,1744086627594960
61,1744086627600640,0.843871,-0.830538,0.831927,0.843871,0.829982,0.894427,0.167000,-0.054000,0.055000,0.114000,0.078000,0.190000,457.000000,-2678.000000,-138.000000,181.000000,152.000000,261.000000,1744086627599275
64,1744086627606118,0.964861,-0.951528,0.952917,0.964861,0.950972,1.015420,0.193000,-0.078000,0.078000,0.138000,0.092000,0.190000,346.000000,-2631.000000,-344.000000,159.000000,126.000000,190.000000,1744086627605792
67,1744086627612682,1.097550,-1.084220,1.085610,1.097550,1.083660,1.148110,0.193000,-0.078000,0.078000,0.138000,0.092000,0.190000,346.000000,-2631.000000,-344.000000,159.000000,126.000000,190.000000,1744086627612289
69,1744086627617145,1.192780,-1.179440,1.180830,1.192780,1.178890,1.243330,0.215000,-0.100000,0.103000,0.152000,0.114000,0.190000,-21.000000,-2513.000000,-590.000000,174.000000,-81.000000,123.000000,1744086627616606
71,1744086627621627,1.293600,-1.280270,1.281660,1.293600,1.279720,1.344160,0.247000,-0.141000,0.144000,0.190000,0.148000,0.199000,297.000000,-2566.000000,-680.000000,180.000000,-85.000000,38.000000,1744086627620944
73,1744086627627213,1.400190,-1.386860,1.388250,1.400190,1.386300,1.450750,0.265000,-0.159000,0.163000,0.208000,0.174000,0.222000,278.000000,-2574.000000,-620.000000,227.000000,-45.000000,13.000000,1744086627625279
75,1744086627631708,1.512700,-1.499360,1.500750,1.512700,1.498810,1.563250,0.265000,-0.159000,0.163000,0.208000,0.174000,0.222000,278.000000,-2574.000000,-620.000000,227.000000,-45.000000,13.000000,1744086627629571
