point_index,timestamp_us,plan_pos_0,plan_pos_1,plan_pos_2,plan_pos_3,plan_pos_4,plan_pos_5,actual_pos_0,actual_pos_1,actual_pos_2,actual_pos_3,actual_pos_4,actual_pos_5,current_0,current_1,current_2,current_3,current_4,current_5
59,1743680385608946,9.855390,-8.573960,8.742290,9.855390,8.503850,10.933300,1.152000,-1.196000,1.281000,1.360000,1.152000,1.264000,5452.000000,-8415.000000,3929.000000,1189.000000,1622.000000,1775.000000
62,1743680385614331,11.017300,-9.438130,9.641790,11.017300,9.353800,12.489600,1.389000,-1.429000,1.512000,1.580000,1.576000,1.579000,3236.000000,-5844.000000,946.000000,644.000000,261.000000,664.000000
65,1743680385620787,12.204400,-10.302300,10.541700,12.204400,10.203700,14.158300,1.831000,-1.763000,1.867000,1.937000,1.892000,1.858000,355.000000,-4177.000000,-1227.000000,194.000000,-15.000000,320.000000
67,1743680385625125,13.005600,-10.878400,11.141600,13.005600,10.770400,15.333300,2.066000,-1.955000,2.075000,2.150000,2.073000,2.088000,330.000000,-4301.000000,-1510.000000,280.000000,30.000000,389.000000
69,1743680385630514,13.811700,-11.454600,11.741600,13.811700,11.337000,16.558300,2.430000,-2.341000,2.463000,2.433000,2.331000,2.349000,227.000000,-3593.000000,-763.000000,213.000000,279.000000,438.000000
71,1743680385634843,14.620300,-12.030700,12.341500,14.620300,11.903600,17.833300,2.658000,-2.557000,2.678000,2.802000,2.632000,2.708000,3505.000000,-5065.000000,1758.000000,1814.000000,1236.000000,1793.000000
74,1743680385640357,15.833800,-12.894900,13.241400,15.833800,12.753600,19.838200,2.978000,-2.883000,2.978000,3.132000,2.881000,3.117000,6332.000000,-6802.000000,3595.000000,2055.000000,1472.000000,1975.000000
76,1743680385645826,16.642799,-13.471000,13.841300,16.642799,13.320200,21.233101,3.430000,-3.334000,3.397000,3.621000,3.376000,3.650000,3307.000000,-4649.000000,1136.000000,256.000000,828.000000,711.000000
78,1743680385650246,17.451799,-14.047100,14.441300,17.451799,13.886800,22.671700,4.027000,-3.765000,3.853000,4.172000,3.690000,3.986000,316.000000,-3435.000000,-703.000000,489.000000,110.000000,616.000000
81,1743680385655725,18.665300,-14.911300,15.341200,18.665300,14.736800,24.906300,4.450000,-4.059000,4.124000,4.529000,4.074000,4.465000,-192.000000,-3702.000000,-1228.000000,177.000000,157.000000,319.000000
83,1743680385660153,19.474300,-15.487400,15.941100,19.474300,15.303400,26.443300,4.450000,-4.059000,4.124000,4.529000,4.074000,4.465000,-192.000000,-3702.000000,-1228.000000,177.000000,157.000000,319.000000
85,1743680385665700,20.283199,-16.063499,16.541000,20.283199,15.870000,28.015400,5.358000,-4.779000,4.856000,5.364000,4.729000,5.357000,500.000000,-2969.000000,-160.000000,676.000000,574.000000,1722.000000
88,1743680385671286,21.496700,-16.927700,17.440901,21.496700,16.719999,30.433701,5.358000,-4.779000,4.856000,5.364000,4.729000,5.357000,500.000000,-2969.000000,-160.000000,676.000000,574.000000,1722.000000
90,1743680385675729,22.305700,-17.503901,18.040899,22.305700,17.286600,32.082298,5.869000,-5.193000,5.290000,5.869000,5.079000,6.010000,4952.000000,-5397.000000,2347.000000,1773.000000,1034.000000,2141.000000
93,1743680385681137,23.519199,-18.368000,18.940800,23.519199,18.136600,34.603802,6.302000,-5.493000,5.589000,6.304000,5.417000,6.507000,4924.000000,-4860.000000,1815.000000,1149.000000,832.000000,1487.000000
95,1743680385685491,24.328199,-18.944201,19.540701,24.328199,18.703199,36.313301,6.924000,-5.966000,6.101000,6.961000,5.965000,7.241000,933.000000,-3065.000000,363.000000,-28.000000,577.000000,780.000000
97,1743680385689808,25.137199,-19.520300,20.140600,25.137199,19.269800,38.042900,7.592000,-6.429000,6.556000,7.602000,6.271000,7.768000,40.000000,-3018.000000,-357.000000,370.000000,-8.000000,436.000000
100,1743680385697454,26.350599,-20.384501,21.040501,26.350599,20.119801,40.669300,7.976000,-6.760000,6.880000,8.000000,6.682000,8.423000,26.000000,-3015.000000,-637.000000,399.000000,297.000000,324.000000
102,1743680385700722,27.159599,-20.960600,21.640499,27.159599,20.686399,42.438000,8.599000,-7.312000,7.285000,8.513000,7.043000,9.043000,-142.000000,-2670.000000,-456.000000,203.000000,92.000000,1425.000000
104,1743680385706148,27.968599,-21.536699,22.240400,27.968599,21.253000,44.217899,8.978000,-7.570000,7.744000,9.126000,7.293000,9.608000,2262.000000,-3909.000000,1135.000000,1286.000000,538.000000,2240.000000
107,1743680385711563,29.182100,-22.400900,23.140301,29.182100,22.103001,46.903301,9.585000,-7.951000,8.114000,9.668000,7.812000,10.719000,3524.000000,-4748.000000,1814.000000,924.000000,793.000000,1878.000000
109,1743680385715935,29.991100,-22.976999,23.740200,29.991100,22.669600,48.700401,10.014000,-8.286000,8.463000,10.119000,8.107000,11.344000,1709.000000,-3684.000000,763.000000,141.000000,360.000000,810.000000
