point_index,timestamp_us,plan_pos_0,plan_pos_1,plan_pos_2,plan_pos_3,plan_pos_4,plan_pos_5,actual_pos_0,actual_pos_1,actual_pos_2,actual_pos_3,actual_pos_4,actual_pos_5,current_0,current_1,current_2,current_3,current_4,current_5
24,1743685860836171,0.863247,-0.849913,0.851302,0.863247,0.849358,0.913802,0.273000,-0.227000,0.240000,0.129000,0.259000,0.256000,473.000000,-3141.000000,-107.000000,622.000000,274.000000,162.000000
25,1743685860840636,0.964861,-0.951528,0.952917,0.964861,0.950972,1.015420,0.329000,-0.298000,0.311000,0.149000,0.303000,0.308000,803.000000,-3148.000000,-336.000000,1030.000000,287.000000,412.000000
26,1743685860846168,1.074600,-1.061270,1.062660,1.074600,1.060710,1.125160,0.381000,-0.354000,0.372000,0.175000,0.355000,0.363000,834.000000,-3357.000000,-71.000000,1624.000000,161.000000,528.000000
27,1743685860850626,1.192780,-1.179440,1.180830,1.192780,1.178890,1.243330,0.451000,-0.435000,0.449000,0.190000,0.428000,0.438000,596.000000,-3387.000000,-286.000000,1831.000000,186.000000,323.000000
28,1743685860856201,1.319700,-1.306370,1.307760,1.319700,1.305820,1.370260,0.501000,-0.491000,0.510000,0.237000,0.471000,0.495000,669.000000,-3308.000000,-293.000000,2024.000000,265.000000,473.000000
29,1743685860860700,1.455690,-1.442360,1.443750,1.455690,1.441810,1.506250,0.572000,-0.561000,0.589000,0.288000,0.580000,0.623000,629.000000,-3193.000000,-227.000000,2023.000000,309.000000,411.000000
30,1743685860866346,1.601060,-1.587700,1.589110,1.601060,1.587100,1.651610,0.650000,-0.645000,0.675000,0.394000,0.660000,0.726000,881.000000,-3198.000000,174.000000,359.000000,145.000000,246.000000
31,1743685860870861,1.756110,-1.742320,1.744060,1.756110,1.741520,1.806670,0.734000,-0.733000,0.771000,0.530000,0.769000,0.839000,785.000000,-3410.000000,-146.000000,-1127.000000,411.000000,482.000000
32,1743685860876404,1.921160,-1.905920,1.908360,1.921160,1.904760,1.971720,0.829000,-0.830000,0.869000,0.613000,0.859000,0.904000,771.000000,-3249.000000,-76.000000,61.000000,329.000000,669.000000
33,1743685860880870,2.096530,-2.078180,2.081720,2.096530,2.076510,2.147080,0.931000,-0.935000,0.961000,0.675000,0.979000,1.036000,983.000000,-3456.000000,22.000000,2242.000000,404.000000,490.000000
34,1743685860886456,2.282520,-2.258790,2.263820,2.282520,2.256450,2.333070,0.931000,-0.935000,0.961000,0.675000,0.979000,1.036000,983.000000,-3456.000000,22.000000,2242.000000,404.000000,490.000000
35,1743685860890962,2.479440,-2.447430,2.454340,2.479440,2.444270,2.530000,1.046000,-1.106000,1.124000,0.844000,1.079000,1.126000,859.000000,-3553.000000,275.000000,905.000000,278.000000,415.000000
36,1743685860895460,2.687510,-2.643810,2.652980,2.687510,2.639660,2.738180,1.246000,-1.363000,1.367000,1.106000,1.358000,1.374000,816.000000,-3885.000000,-162.000000,1321.000000,108.000000,565.000000
37,1743685860901059,2.906500,-2.847600,2.859410,2.906500,2.842310,2.957920,1.246000,-1.363000,1.367000,1.106000,1.358000,1.374000,816.000000,-3885.000000,-162.000000,1321.000000,108.000000,565.000000
38,1743685860905601,3.136100,-3.058480,3.073340,3.136100,3.051900,3.189530,1.392000,-1.509000,1.509000,1.233000,1.551000,1.550000,1160.000000,-3899.000000,-75.000000,1937.000000,371.000000,586.000000
39,1743685860911224,3.376000,-3.276160,3.294440,3.376000,3.268120,3.433330,1.617000,-1.693000,1.691000,1.485000,1.649000,1.636000,938.000000,-3467.000000,306.000000,-946.000000,280.000000,389.000000
40,1743685860915720,3.625880,-3.500310,3.522410,3.625880,3.490660,3.689580,1.779000,-1.821000,1.804000,1.587000,1.875000,1.779000,1203.000000,-3691.000000,140.000000,1136.000000,424.000000,681.000000
41,1743685860921336,3.885440,-3.730630,3.756930,3.885440,3.719210,3.958330,1.948000,-1.998000,1.989000,1.771000,2.033000,2.006000,1149.000000,-3659.000000,232.000000,1470.000000,500.000000,473.000000
42,1743685860925820,4.154360,-3.966790,3.997690,4.154360,3.953450,4.239580,2.114000,-2.160000,2.174000,2.002000,2.242000,2.224000,863.000000,-3222.000000,-232.000000,-1056.000000,218.000000,776.000000
43,1743685860931452,4.432330,-4.208500,4.244370,4.432330,4.193070,4.533330,2.340000,-2.373000,2.403000,2.200000,2.415000,2.411000,1311.000000,-3715.000000,-77.000000,2194.000000,548.000000,670.000000
44,1743685860935986,4.719030,-4.455430,4.496670,4.719030,4.437760,4.839580,2.547000,-2.557000,2.603000,2.459000,2.609000,2.631000,1538.000000,-3820.000000,444.000000,-695.000000,364.000000,610.000000
45,1743685860940503,5.014160,-4.707270,4.754260,5.014160,4.687200,5.158330,2.768000,-2.747000,2.809000,2.635000,2.793000,2.871000,1252.000000,-3649.000000,210.000000,1539.000000,463.000000,631.000000
46,1743685860946104,5.317390,-4.963710,5.016850,5.317390,4.941090,5.489580,3.084000,-3.044000,3.095000,2.969000,2.980000,3.117000,1097.000000,-3589.000000,372.000000,-696.000000,324.000000,663.000000
47,1743685860950540,5.628430,-5.224450,5.284120,5.628430,5.199120,5.833330,3.309000,-3.261000,3.309000,3.184000,3.217000,3.341000,1169.000000,-3862.000000,-93.000000,1819.000000,433.000000,788.000000
48,1743685860956062,5.946950,-5.489150,5.555740,5.946950,5.460960,6.189580,3.573000,-3.455000,3.515000,3.425000,3.441000,3.603000,973.000000,-3885.000000,72.000000,-408.000000,161.000000,493.000000
48,1743685860960510,5.946950,-5.489150,5.555740,5.946950,5.460960,6.189580,3.854000,-3.679000,3.734000,3.707000,3.672000,3.850000,1132.000000,-3700.000000,-25.000000,1243.000000,307.000000,536.000000
