point_index,timestamp_us,plan_pos_0,plan_pos_1,plan_pos_2,plan_pos_3,plan_pos_4,plan_pos_5,actual_pos_0,actual_pos_1,actual_pos_2,actual_pos_3,actual_pos_4,actual_pos_5,current_0,current_1,current_2,current_3,current_4,current_5
1,1743685960986259,0.049471,-0.036138,0.037527,0.049471,0.035582,0.100027,0.111000,-0.026000,0.048000,0.065000,0.050000,0.177000,-181.000000,-958.000000,-2347.000000,-771.000000,-325.000000,-85.000000
3,1743685960991570,0.049658,-0.036324,0.037713,0.049658,0.035769,0.100213,0.108000,-0.026000,0.045000,0.065000,0.049000,0.175000,-178.000000,-981.000000,-2339.000000,-773.000000,-302.000000,-87.000000
6,1743685960996141,0.050588,-0.037254,0.038643,0.050588,0.036699,0.101143,0.109000,-0.026000,0.046000,0.065000,0.046000,0.173000,-162.000000,-996.000000,-2320.000000,-779.000000,-304.000000,-68.000000
8,1743685961001632,0.051874,-0.038541,0.039930,0.051874,0.037986,0.102430,0.109000,-0.024000,0.046000,0.067000,0.046000,0.174000,-178.000000,-1013.000000,-2330.000000,-787.000000,-314.000000,-112.000000
11,1743685961007080,0.055204,-0.041871,0.043260,0.055204,0.041316,0.105760,0.108000,-0.022000,0.045000,0.065000,0.046000,0.173000,-151.000000,-1032.000000,-2352.000000,-788.000000,-283.000000,-87.000000
13,1743685961011454,0.058591,-0.045258,0.046647,0.058591,0.044702,0.109147,0.109000,-0.024000,0.045000,0.065000,0.045000,0.171000,-158.000000,-1050.000000,-2355.000000,-789.000000,-313.000000,-82.000000
15,1743685961016926,0.063098,-0.049764,0.051153,0.063098,0.049209,0.113653,0.107000,-0.022000,0.045000,0.067000,0.043000,0.171000,-186.000000,-1071.000000,-2401.000000,-799.000000,-309.000000,-92.000000
17,1743685961021323,0.068884,-0.055551,0.056940,0.068884,0.054996,0.119440,0.107000,-0.022000,0.044000,0.065000,0.042000,0.168000,-168.000000,-1091.000000,-2396.000000,-795.000000,-317.000000,-73.000000
20,1743685961026866,0.080314,-0.066981,0.068370,0.080314,0.066426,0.130870,0.108000,-0.023000,0.042000,0.065000,0.042000,0.168000,-191.000000,-1116.000000,-2422.000000,-815.000000,-315.000000,-111.000000
22,1743685961031360,0.090001,-0.076668,0.078057,0.090001,0.076112,0.140557,0.105000,-0.023000,0.042000,0.065000,0.042000,0.168000,-185.000000,-1131.000000,-2405.000000,-814.000000,-318.000000,-91.000000
24,1743685961036918,0.101528,-0.088194,0.089583,0.101528,0.087639,0.152083,0.107000,-0.023000,0.042000,0.065000,0.039000,0.168000,-192.000000,-1146.000000,-2407.000000,-819.000000,-315.000000,-116.000000
26,1743685961041384,0.115054,-0.101721,0.103110,0.115054,0.101166,0.165610,0.104000,-0.023000,0.042000,0.064000,0.039000,0.167000,-173.000000,-1184.000000,-2353.000000,-786.000000,-286.000000,-99.000000
29,1743685961046940,0.139444,-0.126111,0.127500,0.139444,0.125556,0.190000,0.104000,-0.024000,0.041000,0.065000,0.038000,0.166000,-74.000000,-1247.000000,-2240.000000,-745.000000,-249.000000,-60.000000
31,1743685961051426,0.158671,-0.145338,0.146727,0.158671,0.144782,0.209227,0.104000,-0.024000,0.039000,0.065000,0.039000,0.167000,-33.000000,-1389.000000,-2094.000000,-703.000000,-193.000000,-55.000000
34,1743685961056905,0.192361,-0.179028,0.180417,0.192361,0.178472,0.242917,0.104000,-0.024000,0.042000,0.067000,0.038000,0.168000,-40.000000,-1452.000000,-2004.000000,-677.000000,-164.000000,-11.000000
36,1743685961061273,0.218288,-0.204954,0.206343,0.218288,0.204399,0.268843,0.107000,-0.024000,0.041000,0.068000,0.038000,0.168000,28.000000,-1556.000000,-1934.000000,-647.000000,-138.000000,5.000000
38,1743685961066693,0.247174,-0.233841,0.235230,0.247174,0.233286,0.297730,0.105000,-0.023000,0.039000,0.068000,0.037000,0.168000,52.000000,-1633.000000,-1851.000000,-623.000000,-133.000000,3.000000
41,1743685961072145,0.296404,-0.283071,0.284460,0.296404,0.282516,0.346960,0.107000,-0.023000,0.041000,0.068000,0.038000,0.167000,69.000000,-1705.000000,-1779.000000,-618.000000,-108.000000,0.000000
43,1743685961076532,0.333391,-0.320058,0.321447,0.333391,0.319502,0.383947,0.107000,-0.023000,0.041000,0.068000,0.038000,0.167000,69.000000,-1705.000000,-1779.000000,-618.000000,-108.000000,0.000000
45,1743685961082016,0.373898,-0.360564,0.361953,0.373898,0.360009,0.424453,0.112000,-0.022000,0.041000,0.072000,0.038000,0.171000,277.000000,-2038.000000,-1419.000000,-509.000000,19.000000,148.000000
47,1743685961086422,0.418084,-0.404751,0.406140,0.418084,0.404196,0.468640,0.112000,-0.022000,0.041000,0.072000,0.038000,0.171000,277.000000,-2038.000000,-1419.000000,-509.000000,19.000000,148.000000
50,1743685961091891,0.491614,-0.478281,0.479670,0.491614,0.477726,0.542170,0.122000,-0.023000,0.041000,0.076000,0.042000,0.174000,239.000000,-2149.000000,-1113.000000,-475.000000,54.000000,141.000000
